school,enrollment,budget_19,budget_20,budget_change,perc_change
World Language Academy High School,350,"3,167,664","3,357,242","189,578",5.98%
Woodlawn Community Elementary School,206,"1,818,223","1,776,635","-41,587",-2.29%
Wolfgang A Mozart Elementary School,585,"5,163,222","5,165,002","1,780",0.03%
Wilma Rudolph Elementary Learning Center,90,"2,739,797","2,850,736","110,939",4.05%
William W Carter Elementary School,361,"3,044,932","2,814,553","-230,380",-7.57%
William T Sherman Elementary School,250,"2,173,652","2,579,965","406,313",18.69%
William Rainey Harper High School,80,"1,875,213","1,450,056","-425,157",-22.67%
William Penn Elementary School,275,"3,319,465","3,018,518","-300,948",-9.07%
William P Nixon Elementary School,760,"6,311,763","6,187,469","-124,294",-1.97%
William P Gray Elementary School,1153,"8,524,025","9,048,285","524,261",6.15%
William K New Sullivan Elementary School,502,"4,980,954","5,306,109","325,155",6.53%
William Jones College Preparatory High School,1903,"13,108,214","13,382,838","274,624",2.10%
William J Onahan Elementary School,661,"4,418,928","4,863,246","444,318",10.05%
William J Bogan High School,814,"7,832,451","8,018,051","185,600",2.37%
William Howard Taft High School,3273,"24,449,096","25,351,861","902,765",3.69%
William H Seward Communication Arts Academy ES,637,"5,593,609","5,531,357","-62,252",-1.11%
William H Ryder Math & Science Specialty ES,403,"4,300,996","4,691,336","390,340",9.08%
William H Ray Elementary School,720,"5,621,379","5,630,773","9,395",0.17%
William H Prescott Elementary School,438,"3,351,901","3,804,567","452,665",13.50%
William H Brown Elementary School,223,"3,009,044","3,116,574","107,530",3.57%
William G Hibbard Elementary School,954,"7,636,130","7,542,683","-93,446",-1.22%
William F Finkl Elementary School,324,"3,923,014","3,760,058","-162,957",-4.15%
William E Dever Elementary School,741,"5,613,500","5,641,688","28,188",0.50%
William E B Dubois Elementary School,211,"2,272,003","2,363,806","91,803",4.04%
William C. Goudy Technology Academy,681,"5,784,300","6,035,863","251,562",4.35%
William C Reavis Math & Science Specialty ES,263,"2,377,190","2,523,514","146,324",6.16%
William Bishop Owen Scholastic Academy ES,257,"2,414,186","2,397,589","-16,597",-0.69%
Willa Cather Elementary School,386,"3,348,297","3,467,934","119,637",3.57%
Wildwood IB World Magnet School,476,"3,645,756","3,621,435","-24,321",-0.67%
Whitney M Young Magnet High School,2194,"15,284,028","15,947,721","663,693",4.34%
West Ridge Elementary School,794,"6,376,325","6,502,374","126,049",1.98%
West Park Elementary Academy,549,"4,648,140","4,843,829","195,689",4.21%
Wendell Smith Elementary School,332,"2,843,944","3,024,391","180,446",6.34%
Wendell Phillips Academy High School,681,"6,788,983","7,067,995","279,012",4.11%
Wendell E Green Elementary School,337,"3,203,454","2,972,332","-231,122",-7.21%
Wells Community Academy High School,355,"3,954,690","4,294,433","339,743",8.59%
Washington Irving Elementary School,375,"3,806,827","3,602,777","-204,050",-5.36%
Washington D Smyser Elementary School,864,"6,608,259","6,566,071","-42,188",-0.64%
Walter S Christopher Elementary School,380,"6,612,119","7,045,108","432,989",6.55%
Walter Q Gresham Elementary School,315,"2,653,069","3,177,170","524,101",19.75%
Walter Payton College Preparatory High School,1148,"8,160,999","8,899,216","738,217",9.05%
Walter L Newberry Math & Science Academy ES,484,"4,817,030","4,856,942","39,912",0.83%
Walter Henri Dyett High School for the Arts,472,"3,900,254","5,181,766","1,281,512",32.86%
Walt Disney Magnet Elementary School,1507,"10,982,154","11,079,440","97,286",0.89%
Virgil Grissom Elementary School,334,"2,699,333","2,767,345","68,012",2.52%
Velma F Thomas Early Childhood Center,176,"768,515","673,940","-94,575",-12.31%
Uplift Community High School,147,"3,215,332","3,010,908","-204,424",-6.36%
Turner-Drew Elementary Language Academy,207,"2,340,864","2,248,264","-92,600",-3.96%
Thomas Kelly High School,1810,"17,203,161","17,738,548","535,387",3.11%
Thomas J Waters Elementary School,629,"3,964,891","4,339,468","374,578",9.45%
Thomas J Higgins Elementary Community Academy,281,"2,543,730","2,728,434","184,704",7.26%
Thomas Hoyne Elementary School,240,"2,212,934","2,072,360","-140,575",-6.35%
Thomas Drummond Elementary School,343,"2,673,536","2,670,473","-3,063",-0.11%
Thomas Chalmers Specialty Elementary School,325,"2,988,225","3,069,984","81,760",2.74%
Thomas A Hendricks Elementary Community Academy,237,"3,000,456","3,348,614","348,158",11.60%
Thomas A Edison Regional Gifted Center ES,267,"1,745,065","1,722,596","-22,469",-1.29%
Theophilus Schmid Elementary School,205,"1,866,344","2,016,470","150,126",8.04%
Theodore Roosevelt High School,935,"9,902,963","9,449,688","-453,275",-4.58%
Theodore Herzl Elementary School,565,"6,149,242","5,643,342","-505,899",-8.23%
Telpochcalli Elementary School,271,"3,036,607","2,974,046","-62,560",-2.06%
Tarkington School of Excellence ES,962,"7,284,112","7,804,784","520,672",7.15%
Talman Elementary School,391,"3,804,418","3,901,551","97,133",2.55%
Suder Montessori Magnet ES,387,"3,755,160","3,810,319","55,159",1.47%
Stone Elementary Scholastic Academy,612,"4,753,224","4,656,800","-96,424",-2.03%
Stephen T Mather High School,1412,"12,403,476","12,995,599","592,123",4.77%
Stephen K Hayt Elementary School,932,"7,534,701","7,496,809","-37,893",-0.50%
Stephen F Gale Elementary Community Academy,326,"3,485,533","3,457,336","-28,198",-0.81%
Stephen Decatur Classical Elementary School,284,"1,913,330","1,911,808","-1,522",-0.08%
STEM Magnet Academy,432,"3,123,508","3,111,965","-11,543",-0.37%
Spry Community Links High School,110,"1,702,814","2,275,778","572,963",33.65%
Spencer Technology Academy,499,"4,920,673","4,399,143","-521,531",-10.60%
Southside Occupational Academy High School,258,"6,860,541","7,116,350","255,809",3.73%
Southeast Area Elementary School,587,"4,482,662","5,060,057","577,394",12.88%
South Shore Intl College Prep High School,637,"5,917,902","6,077,037","159,135",2.69%
South Shore Fine Arts Academy,349,"3,556,707","3,637,714","81,007",2.28%
South Loop Elementary School,794,"4,823,199","5,153,853","330,654",6.86%
Sor Juana Ines de la Cruz ES,92,"1,301,292","1,629,538","328,246",25.22%
Socorro Sandoval Elementary School,901,"7,510,614","7,729,107","218,494",2.91%
Skinner North,521,"3,407,256","3,636,507","229,251",6.73%
Sir Miles Davis Magnet Elementary Academy,226,"2,497,391","2,528,635","31,244",1.25%
Simpson Academy HS for Young Women,37,"1,383,390","1,401,086","17,696",1.28%
Sidney Sawyer Elementary School,1441,"10,853,932","11,450,097","596,165",5.49%
Sharon Christa McAuliffe Elementary School,686,"5,696,694","5,905,025","208,331",3.66%
Scott Joplin Elementary School,442,"3,450,593","3,863,026","412,434",11.95%
Sauganash Elementary School,630,"3,855,967","4,004,629","148,662",3.86%
Sarah E. Goode STEM Academy,842,"7,940,040","8,645,217","705,177",8.88%
Salmon P Chase Elementary School,409,"4,552,890","5,227,336","674,446",14.81%
Rufus M Hitch Elementary School,576,"4,084,105","4,201,123","117,018",2.87%
Rueben Salazar Elementary Bilingual Center,322,"2,937,684","3,024,453","86,769",2.95%
Rudyard Kipling Elementary School,288,"2,487,909","2,483,934","-3,975",-0.16%
Roswell B Mason Elementary School,363,"3,135,008","3,242,857","107,849",3.44%
Ronald E McNair Elementary School,408,"4,470,577","5,007,167","536,589",12.00%
Ronald Brown Elementary Community Academy,357,"3,084,333","2,955,617","-128,716",-4.17%
Roger C Sullivan High School,667,"7,421,298","7,018,978","-402,319",-5.42%
Rodolfo Lozano Bilingual & International Ctr ES,183,"2,677,913","3,236,231","558,318",20.85%
Roberto Clemente Community Academy High School,666,"7,406,203","7,294,045","-112,158",-1.51%
Robert Nathaniel Dett Elementary School,336,"3,418,870","3,809,739","390,869",11.43%
Robert Lindblom Math & Science Academy HS,1351,"10,739,965","11,244,256","504,292",4.70%
Robert L Grimes Elementary School,449,"3,330,244","3,536,808","206,564",6.20%
Robert J. Richardson Middle School,1126,"8,633,721","8,917,917","284,196",3.29%
Robert Healy Elementary School,1409,"9,642,089","10,107,601","465,512",4.83%
Robert Fulton Elementary School,382,"3,177,587","3,454,774","277,186",8.72%
Robert A Black Magnet Elementary School,413,"3,358,055","3,394,720","36,665",1.09%
Roald Amundsen High School,1254,"10,862,927","12,107,235","1,244,308",11.45%
Richard Yates Elementary School,392,"4,518,688","4,615,699","97,011",2.15%
Richard T Crane Medical Preparatory HS,389,"4,098,756","3,781,350","-317,406",-7.74%
Richard J Oglesby Elementary School,475,"4,208,136","4,360,715","152,579",3.63%
Richard J Daley Elementary Academy,575,"4,433,559","4,913,917","480,358",10.83%
Richard Henry Lee Elementary School,813,"6,509,221","6,309,743","-199,478",-3.06%
Richard Edwards Elementary School,1472,"12,232,221","12,631,009","398,788",3.26%
Ray Graham Training Center High School,112,"3,304,248","3,408,118","103,870",3.14%
Ravenswood Elementary School,551,"4,093,588","4,106,728","13,140",0.32%
Ralph H Metcalfe Elementary Community Academy,335,"3,097,746","3,305,397","207,651",6.70%
