group,rate,total_dropout,year
CITYWIDE,13.8,13736,1999
CITYWIDE,13.3,13093,2000
CITYWIDE,13.8,13939,2001
CITYWIDE,12.1,12489,2002
CITYWIDE,12.1,12666,2003
CITYWIDE,10.9,11647,2004
CITYWIDE,9.8,10667,2005
CITYWIDE,9.9,11063,2006
CITYWIDE,10,10829,2007
CITYWIDE,12,13968,2008
CITYWIDE,10.5,12385,2009
CITYWIDE,9.3,10925,2010
CITYWIDE,8.1,9362,2011
CITYWIDE,7.6,8781,2012
CITYWIDE,5.8,6551,2013
CITYWIDE,5.8,6450,2014
FEMALE,12.5,6389,1999
FEMALE,11.9,6015,2000
FEMALE,12.5,6453,2001
FEMALE,10.8,5690,2002
FEMALE,10.7,5738,2003
FEMALE,9.5,5248,2004
FEMALE,8.6,4832,2005
FEMALE,8.6,4958,2006
FEMALE,8.7,4837,2007
FEMALE,10.6,6284,2008
FEMALE,9.2,5546,2009
FEMALE,8.4,5022,2010
FEMALE,7.3,4263,2011
FEMALE,6.7,3943,2012
FEMALE,5.1,2932,2013
FEMALE,5.4,3086,2014
MALE,15.2,7347,1999
MALE,14.7,7078,2000
MALE,15.3,7486,2001
MALE,13.6,6799,2002
MALE,13.6,6928,2003
MALE,12.3,6399,2004
MALE,11,5835,2005
MALE,11.3,6105,2006
MALE,11.3,5992,2007
MALE,13.4,7684,2008
MALE,11.8,6839,2009
MALE,10.3,5903,2010
MALE,9,5099,2011
MALE,8.5,4838,2012
MALE,6.5,3619,2013
MALE,6.1,3364,2014
AMERICAN INDIAN,18.8,34,1999
AMERICAN INDIAN,18.8,35,2000
AMERICAN INDIAN,11.9,21,2001
AMERICAN INDIAN,9.4,17,2002
AMERICAN INDIAN,12,23,2003
AMERICAN INDIAN,15.4,28,2004
AMERICAN INDIAN,10.8,19,2005
AMERICAN INDIAN,10.6,18,2006
AMERICAN INDIAN,6.6,10,2007
AMERICAN INDIAN,11.9,23,2008
AMERICAN INDIAN,9.7,19,2009
AMERICAN INDIAN,3.6,16,2010
AMERICAN INDIAN,8.9,35,2011
AMERICAN INDIAN,5.2,20,2012
AMERICAN INDIAN,3.7,14,2013
AMERICAN INDIAN,4.1,15,2014
WHITE,11.8,1318,1999
WHITE,11.1,1245,2000
WHITE,12.1,1377,2001
WHITE,10.4,1168,2002
WHITE,9.9,1091,2003
WHITE,8.9,993,2004
WHITE,8.3,904,2005
WHITE,8.8,939,2006
WHITE,7.5,736,2007
WHITE,10.2,1054,2008
WHITE,8,798,2009
WHITE,6.5,596,2010
WHITE,4.6,399,2011
WHITE,4.1,357,2012
WHITE,2.7,241,2013
WHITE,3.4,303,2014
BLACK,15.5,8313,1999
BLACK,14.5,7559,2000
BLACK,15.7,8246,2001
BLACK,13.4,7101,2002
BLACK,13.5,7291,2003
BLACK,12,6692,2004
BLACK,10.4,5925,2005
BLACK,10.6,6209,2006
BLACK,11,6303,2007
BLACK,13.2,8064,2008
BLACK,12.4,7592,2009
BLACK,11.7,6847,2010
BLACK,10.8,5909,2011
BLACK,10.2,5425,2012
BLACK,8.8,4389,2013
BLACK,8,3886,2014
HISPANIC,12.8,3867,1999
HISPANIC,12.9,4009,2000
HISPANIC,12.5,4035,2001
HISPANIC,11.6,3950,2002
HISPANIC,11.5,4022,2003
HISPANIC,10.3,3683,2004
HISPANIC,9.8,3578,2005
HISPANIC,9.7,3648,2006
HISPANIC,9.8,3611,2007
HISPANIC,11.2,4552,2008
HISPANIC,8.8,3755,2009
HISPANIC,7.4,3315,2010
HISPANIC,6.1,2797,2011
HISPANIC,5.8,2729,2012
HISPANIC,3.7,1769,2013
HISPANIC,4.4,2113,2014
ASIAN OR PACIFIC ISLANDER,5,204,1999
ASIAN OR PACIFIC ISLANDER,6,245,2000
ASIAN OR PACIFIC ISLANDER,6.1,260,2001
ASIAN OR PACIFIC ISLANDER,5.7,253,2002
ASIAN OR PACIFIC ISLANDER,5.5,239,2003
ASIAN OR PACIFIC ISLANDER,5.7,251,2004
ASIAN OR PACIFIC ISLANDER,5.5,241,2005
ASIAN OR PACIFIC ISLANDER,5.7,249,2006
ASIAN OR PACIFIC ISLANDER,4.1,169,2007
ASIAN OR PACIFIC ISLANDER,6.2,273,2008
ASIAN OR PACIFIC ISLANDER,5,220,2009
ASIAN OR PACIFIC ISLANDER,3.5,138,2010
ASIAN OR PACIFIC ISLANDER,2.7,111,2011
ASIAN OR PACIFIC ISLANDER,2.5,106,2012
ASIAN OR PACIFIC ISLANDER,0.9,40,2013
ASIAN OR PACIFIC ISLANDER,1.1,45,2014
