Area,Unit,School ID,School,Total,Year
1,6290,610212,Albany Park,290,2007
1,2160,609789,Barry,847,2007
1,4950,610083,Beard,161,2007
1,2240,609796,Beaubien,"1,002",2007
1,2260,609798,Belding,499,2007
1,2380,609810,Bridge,710,2007
1,2620,609836,Canty,649,2007
1,6670,610248,Chicago Acad,582,2007
1,2800,609857,Cleveland,617,2007
1,3020,609884,Dever,801,2007
1,2950,609874,Dirksen,644,2007
1,3150,609899,Ebinger,635,2007
1,3170,609901,Edgebrook,359,2007
1,2220,609794,Edison,264,2007
1,3270,609910,Falconer,"1,526",2007
1,3280,609912,Farnsworth,562,2007
1,3510,609937,"Garvy, J.",609,2007
1,3620,609949,Gray,"1,292",2007
1,3810,609972,Haugan,"1,076",2007
1,3940,609988,Henry,718,2007
1,4000,609994,Hibbard,"1,159",2007
1,4010,609995,Hitch,400,2007
1,4780,610069,Irving Park Mid,334,2007
1,7520,610321,Marshall Mid,407,2007
1,4850,610074,Monroe,"1,268",2007
1,5020,610089,Murphy,561,2007
1,7890,610354,North River,296,2007
1,5120,610099,Norwood Park,357,2007
1,5190,610104,Onahan,562,2007
1,5200,610105,Oriole Park,570,2007
1,5260,610111,Palmer,933,2007
1,5410,610127,Peterson,961,2007
1,5490,610135,Portage Park,"1,147",2007
1,5510,610137,Prussing,711,2007
1,5590,610144,Reilly,"1,551",2007
1,5600,610145,Reinberg,"1,274",2007
1,5690,610155,Sauganash,415,2007
1,5730,610159,Scammon,"1,067",2007
1,5960,610179,Smyser,887,2007
1,5980,610182,Solomon,389,2007
1,5770,610163,Stock,213,2007
1,6190,610201,"Thorp, O. A.",826,2007
1,6270,610209,Volta,949,2007
1,6470,610230,Wildwood,348,2007
2,2080,609779,"Armstrong, G.","1,287",2007
2,2110,609782,Audubon,427,2007
2,2190,609792,Bateman,984,2007
2,2270,609799,Bell,862,2007
2,2300,609803,Blaine,773,2007
2,2320,609804,Boone,"1,129",2007
2,6600,610242,Brennemann,326,2007
2,2440,609817,Budlong,812,2007
2,2750,609852,Chappell,398,2007
2,2810,609859,Clinton,"1,290",2007
2,2880,609866,Coonley,328,2007
2,7910,610355,Courtenay,217,2007
2,2990,609880,Decatur Classical,266,2007
2,8000,610363,Disney Magnet,"1,536",2007
2,3350,609918,Field,463,2007
2,3480,609933,Gale,588,2007
2,3590,609945,Goudy,741,2007
2,2730,609850,Greeley,488,2007
2,3730,609963,Hamilton,212,2007
2,3850,609976,Hayt,912,2007
2,4890,610078,Inter-American,580,2007
2,4170,610010,Jahn,480,2007
2,4180,610011,Jamieson,809,2007
2,2870,609865,Jordan,670,2007
2,4300,610022,Kilmer,874,2007
2,4440,610035,Lemoyne,61,2007
2,6910,610269,McCutcheon,315,2007
2,6911,,McCutcheon Br,88,2007
2,4800,610070,McPherson,682,2007
2,5070,610094,Nettelhorst,456,2007
2,7060,610284,New Field,639,2007
2,5360,610122,Peirce,924,2007
2,5550,610141,Ravenswood,479,2007
2,5630,610147,Rogers,626,2007
2,6040,610187,Stewart,377,2007
2,6060,610189,Stockton,484,2007
2,6061,,Stockton Br,101,2007
2,6070,610191,Stone,620,2007
2,6130,610196,Swift,628,2007
2,6230,610205,Trumbull,481,2007
2,6370,610220,Waters,368,2007
3,5700,610156,"Armstrong, L.",183,2007
3,2550,609830,Brunson,937,2007
3,2450,609818,Burbank,"1,292",2007
3,2230,609795,"Clark, G. R.",369,2007
3,8050,610367,DePriest,763,2007
3,3220,609904,Ellington,607,2007
3,3230,609906,Emmet,568,2007
3,3840,609975,Hay ,699,2007
3,4060,610000,Howe,688,2007
3,4280,610020,Key,453,2007
3,7320,610305,Leland,192,2007
3,4450,610036,Lewis,"1,037",2007
3,4510,610041,"Locke, J","1,150",2007
3,4530,610043,Lovett,589,2007
3,4560,610046,Lyon,"1,234",2007
3,4670,610058,May ,722,2007
3,7040,610282,McNair,607,2007
3,5050,610092,Nash,635,2007
3,5720,610158,Sayre ,540,2007
3,6000,610183,Spencer,951,2007
3,6520,610235,Young,"1,480",2007
4,2090,609780,Ames,799,2007
4,3390,609922,Belmont-Cragin,265,2007
4,3391,,Belmont-Cragin EC,363,2007
4,2610,609835,Cameron,"1,072",2007
4,4290,610021,Casals,643,2007
4,2760,609853,Chase,589,2007
4,2770,609854,Chopin,269,2007
4,2850,609863,Columbus,307,2007
4,2960,609875,Darwin,808,2007
4,3460,609930,Funston,621,2007
4,3560,609942,Goethe,653,2007
4,4770,610068,Hanson Park,"1,530",2007
4,4400,610031,Lafayette,655,2007
4,4500,610040,Lloyd,"1,398",2007
4,4540,610044,Lowell,762,2007
4,3770,609968,McAuliffe,843,2007
4,4840,610073,Mitchell,234,2007
4,4870,610076,Moos,664,2007
4,5000,610088,Mozart,887,2007
4,5100,610097,Nixon,"1,080",2007
4,5110,610098,Nobel,864,2007
4,4600,610051,Northwest Mid,"1,004",2007
4,5210,610106,Piccolo,802,2007
4,7510,610320,Roque De Duprey,337,2007
4,5800,610165,Schubert,"1,384",2007
4,6080,610192,Stowe,"1,104",2007
4,6280,610210,Von Humboldt,608,2007
4,6282,,Von Humboldt CPC,87,2007
4,5140,610100,West Park ,760,2007
4,6510,610234,Yates,804,2007
6,2030,609773,Agassiz,355,2007
6,2040,609774,Alcott,453,2007
6,2060,609776,Andersen,583,2007
6,2140,609787,Avondale,708,2007
6,2370,609809,Brentano,573,2007
6,2470,609820,Burley,476,2007
6,2530,609828,Burr,305,2007
6,2640,609838,Carpenter,357,2007
6,7420,610313,De Diego ,"1,128",2007
6,3120,609896,Drummond,260,2007
