Area,Unit,School ID,Schools,Total,year
1,6290,610212,Albany Park,286,2008
1,2160,609789,Barry,950,2008
1,4950,610083,Beard,162,2008
1,2240,609796,Beaubien,"1,081",2008
1,2260,609798,Belding,498,2008
1,2380,609810,Bridge,761,2008
1,2620,609836,Canty,670,2008
1,6670,610248,Chicago Acad,588,2008
1,2800,609857,Cleveland,687,2008
1,3020,609884,Dever,807,2008
1,2950,609874,Dirksen,648,2008
1,3150,609899,Ebinger,642,2008
1,3170,609901,Edgebrook,394,2008
1,2220,609794,Edison,274,2008
1,3270,609910,Falconer,"1,533",2008
1,3280,609912,Farnsworth,606,2008
1,3510,609937,"Garvy, J.",628,2008
1,3620,609949,Gray,"1,304",2008
1,3810,609972,Haugan,"1,199",2008
1,3940,609988,Henry,702,2008
1,4000,609994,Hibbard,"1,186",2008
1,4010,609995,Hitch,426,2008
1,4780,610069,Irving Park Mid,340,2008
1,7520,610321,Marshall Mid,374,2008
1,4850,610074,Monroe,"1,256",2008
1,5020,610089,Murphy,565,2008
1,7890,610354,North River,311,2008
1,5120,610099,Norwood Park,359,2008
1,5190,610104,Onahan,566,2008
1,5200,610105,Oriole Park,607,2008
1,5260,610111,Palmer,959,2008
1,5410,610127,Peterson,939,2008
1,5490,610135,Portage Park,"1,126",2008
1,5510,610137,Prussing,729,2008
1,5590,610144,Reilly,"1,560",2008
1,5600,610145,Reinberg,"1,307",2008
1,5690,610155,Sauganash,459,2008
1,5730,610159,Scammon,"1,066",2008
1,5960,610179,Smyser,904,2008
1,5980,610182,Solomon,373,2008
1,5770,610163,Stock,229,2008
1,6190,610201,"Thorp, O. A.",818,2008
1,6270,610209,Volta,972,2008
1,6470,610230,Wildwood,344,2008
2,2080,609779,"Armstrong, G.","1,402",2008
2,2110,609782,Audubon,449,2008
2,2190,609792,Bateman,982,2008
2,2270,609799,Bell,912,2008
2,2300,609803,Blaine,774,2008
2,2320,609804,Boone,"1,074",2008
2,6600,610242,Brennemann,294,2008
2,2440,609817,Budlong,856,2008
2,2750,609852,Chappell,407,2008
2,2810,609859,Clinton,"1,252",2008
2,2880,609866,Coonley,350,2008
2,7910,610355,Courtenay,204,2008
2,2990,609880,Decatur Classical,266,2008
2,8000,610363,Disney Magnet,"1,528",2008
2,3350,609918,Field,387,2008
2,3480,609933,Gale,526,2008
