Area,Network,School ID,School,Total,Year
1,,610212,Albany Park Multicultural Academy,267,2010
1,,610209,Alessandro Volta Elementary School,"1,011",2010
1,,609836,Arthur E Canty Elementary School,732,2010
1,,609899,Christian Ebinger Elementary School,607,2010
1,,610515,Disney II Magnet School,262,2010
1,,609901,Edgebrook Elementary School,458,2010
1,,610523,Edison Park Elementary School,342,2010
1,,610144,Frank W Reilly Elementary School,"1,528",2010
1,,609857,Grover Cleveland Elementary School,670,2010
1,,609972,Helge A Haugan Elementary School,"1,261",2010
1,,609798,Hiram H Belding Elementary School,596,2010
1,,610074,James Monroe Elementary School,"1,227",2010
1,,610089,John B Murphy Elementary School,523,2010
1,,609789,John Barry Elementary School,885,2010
1,,610111,John Palmer Elementary School,926,2010
1,,609937,John W Garvy Elementary School,659,2010
1,,610159,Jonathan Y Scammon Elementary School,"1,069",2010
1,,609910,Laughlin Falconer Elementary School,"1,601",2010
1,,610127,Mary Gage Peterson Elementary School,909,2010
1,,610354,North River Elementary School,273,2010
1,,610099,Norwood Park Elementary School,380,2010
1,,610201,Ole A Thorp Elementary Scholastic Academy,831,2010
1,,610145,Peter A Reinberg Elementary School,"1,312",2010
1,,610135,Portage Park Elementary School,"1,150",2010
1,,609995,Rufus M Hitch Elementary School,477,2010
1,,609794,Thomas A Edison Regional Gifted Center ES,266,2010
1,,610321,Thurgood Marshall Middle School,648,2010
1,,609884,William E Dever Elementary School,817,2010
1,,609994,William G Hibbard Elementary School,"1,190",2010
2,,609799,Alexander Graham Bell Elementary School,951,2010
2,,609963,Alexander Hamilton Elementary School,243,2010
2,,609804,Daniel Boone Elementary School,"1,073",2010
2,,609859,DeWitt Clinton Elementary School,"1,273",2010
2,,609852,Eliza Chappell Elementary School,438,2010
2,,609918,Eugene Field Elementary School,372,2010
2,,610010,Friedrich Ludwig Jahn Elementary School,433,2010
2,,609779,George Armstrong International Studies ES,"1,374",2010
2,,610196,George B Swift Elementary Specialty School,679,2010
2,,610187,Graeme Stewart Elementary School,367,2010
2,,610122,Helen Peirce International Studies ES,871,2010
2,,609850,Horace Greeley Elementary School,546,2010
2,,610078,Inter-American Elementary Magnet School,695,2010
2,,610070,James B McPherson Elementary School,685,2010
2,,609803,James G Blaine Elementary School,834,2010
2,,609866,John C Coonley Elementary School,517,2010
2,,610269,John T McCutcheon Elementary School,366,2010
2,,609865,Jordan Elementary Community School,719,2010
2,,610242,Joseph Brennemann Elementary School,332,2010
2,,610189,Joseph Stockton Elementary School,481,2010
2,,610022,Joyce Kilmer Elementary School,850,2010
2,,610094,Louis Nettelhorst Elementary School,631,2010
2,,610205,Lyman Trumbull Elementary School,484,2010
2,,610355,Mary E Courtenay Elementary Language Arts Center,215,2010
2,,610284,New Field Elementary School,733,2010
2,,609792,Newton Bateman Elementary School,"1,009",2010
2,,610147,Philip Rogers Elementary School,724,2010
2,,609880,Stephen Decatur Classical Elementary School,288,2010
2,,609933,Stephen F Gale Elementary Community Academy,513,2010
2,,609976,Stephen K Hayt Elementary School,978,2010
2,,610220,Thomas J Waters Elementary School,472,2010
2,,610363,Walt Disney Magnet Elementary School,"1,633",2010
2,,609945,William C Goudy Elementary School,728,2010
3,,609904,Edward K Ellington Elementary School,467,2010
3,,610235,Ella Flagg Young Elementary School,"1,341",2010
3,,610020,Francis Scott Key Elementary School,363,2010
3,,610305,George Leland Elementary School,216,2010
3,,609795,George Rogers Clark Elementary School,324,2010
3,,610092,Henry H Nash Elementary School,485,2010
3,,610183,Herbert Spencer Elementary Math & Science Academy,857,2010
3,,610058,Horatio May Elementary Community Academy,500,2010
3,,609975,John Hay Elementary Community Academy,640,2010
3,,610043,Joseph Lovett Elementary School,461,2010
3,,610041,Josephine C Locke Elementary School,"1,309",2010
3,,610036,Leslie Lewis Elementary School,674,2010
3,,610156,Louis Armstrong Math & Science Elementary School,133,2010
3,,609818,Luther Burbank Elementary School,"1,284",2010
3,,609830,Milton Brunson Math & Science Specialty ES,686,2010
3,,610367,Oscar DePriest Elementary School,604,2010
3,,609906,Robert Emmet Elementary School,526,2010
3,,610282,Ronald E McNair Elementary School,535,2010
4,,610210,Alexander von Humboldt Elementary School,529,2010
4,,610098,Alfred Nobel Elementary School,817,2010
4,,609780,Ames Middle School,637,2010
4,,610320,Ana Roque de Duprey Elementary School,158,2010
4,,609922,Belmont-Cragin Elementary School,632,2010
4,,610076,Bernhard Moos Elementary School,501,2010
4,,610106,Brian Piccolo Elementary Specialty School,667,2010
4,,609875,Charles R Darwin Elementary School,697,2010
4,,609863,Christopher Columbus Elementary School,332,2010
4,,609835,Daniel R Cameron Elementary School,971,2010
4,,610533,Dr Jorge Prieto Math and Science,799,2010
4,,610165,Franz Peter Schubert Elementary School,"1,155",2010
4,,609854,Frederic Chopin Elementary School,296,2010
4,,610068,Hanson Park Elementary School,"1,402",2010
4,,610192,Harriet Beecher Stowe Elementary School,957,2010
4,,610040,Henry D Lloyd Elementary School,"1,296",2010
4,,610044,James Russell Lowell Elementary School,687,2010
4,,610031,Jean D Lafayette Elementary School,505,2010
4,,610051,Northwest Middle School,908,2010
4,,610021,Pablo Casals Elementary School,488,2010
4,,610234,Richard Yates Elementary School,768,2010
4,,609853,Salmon P Chase Elementary School,497,2010
4,,609968,Sharon Christa McAuliffe Elementary School,849,2010
4,,610100,West Park Elementary Academy,772,2010
4,,610097,William P Nixon Elementary School,"1,061",2010
4,,610088,Wolfgang A Mozart Elementary School,865,2010
6,,610229,A.N. Pritzker School,625,2010
6,,610038,Abraham Lincoln Elementary School,706,2010
6,,610342,Albert R Sabin Elementary Magnet School,601,2010
6,,610524,Alcott High School for the Humanities,83,2010
6,,609820,Augustus H Burley Elementary School,536,2010
6,,609787,Avondale Elementary School,723,2010
6,,610039,Carl von Linne Elementary School,624,2010
6,,610138,Casimir Pulaski Elementary Fine Arts Academy,811,2010
6,,610012,Edward Jenner Elementary Academy of the Arts,482,2010
6,,610119,Elizabeth Peabody Elementary School,250,2010
6,,609926,Franklin Elementary Fine Arts Center,361,2010
6,,610048,George Manierre Elementary School,513,2010
6,,610164,George Schneider Elementary School,114,2010
6,,609776,Hans Christian Andersen Community Academy ES,171,2010
6,,609974,Hawthorne Elementary Scholastic Academy,564,2010
6,,610107,James Otis Elementary School,438,2010
6,,609828,Jonathan Burr Elementary School,329,2010
6,,610313,Jose De Diego Elementary Community Academy,945,2010
6,,610033,LaSalle Elementary Language Academy,577,2010
6,,610325,Logandale Middle School,276,2010
6,,609809,Lorenz Brentano Math & Science Academy ES,511,2010
6,,609773,Louis A Agassiz Elementary School,397,2010
6,,609774,Louisa May Alcott Elementary School,500,2010
6,,610197,Mancel Talcott Elementary School,516,2010
6,,610059,Oscar F Mayer Elementary School,603,2010
6,,609838,Philo Carpenter Elementary School,210,2010
6,,610029,Rodolfo Lozano Bilingual & International Ctr ES,374,2010
6,,609896,Thomas Drummond Elementary School,310,2010
6,,610136,William H Prescott Elementary School,197,2010
7,,610131,Ambrose Plamondon Elementary School,179,2010
7,,610005,Charles Evans Hughes Elementary School,348,2010
7,,610221,Daniel Webster Elementary School,434,2010
7,,609881,Edward C Delano Elementary School,465,2010
7,,610503,Frazier Prospective IB Magnet ES,189,2010
7,,610202,George W Tilton Elementary School,368,2010
7,,610241,Guglielmo Marconi Elementary Community Academy,251,2010
7,,609985,Helen M Hefferan Elementary School,333,2010
7,,609797,Jacob Beidler Elementary School,491,2010
7,,610271,Jensen Elementary Scholastic Academy,438,2010
7,,610243,John Calhoun North Elementary School,383,2010
7,,609954,John Milton Gregory Elementary School,373,2010
7,,609925,Joseph Kellman Corporate Community ES,298,2010
7,,610133,Laura S Ward Elementary School,451,2010
7,,609907,Leif Ericson Elementary Scholastic Academy,564,2010
7,,610154,Martin A Ryerson Elementary School,515,2010
7,,610055,Michael Faraday Elementary School,208,2010
7,,610348,Nathan R Goldblatt Elementary School,275,2010
7,,610252,Robert Nathaniel Dett Elementary School,253,2010
7,,610405,Suder Montessori Magnet ES,262,2010
7,,609989,Victor Herbert Elementary School,396,2010
7,,610121,Washington Irving Elementary School,502,2010
7,,610251,Willa Cather Elementary School,235,2010
7,,609812,William H Brown Elementary School,213,2010
9,,609966,Charles G Hammond Elementary School,496,2010
9,,609996,Charles N Holden Elementary School,637,2010
9,,610293,Genevieve Melody Elementary School,387,2010
9,,610062,George B McClellan Elementary School,287,2010
9,,610216,John A Walsh Elementary School,489,2010
9,,609894,John B Drake Elementary School,234,2010
9,,610228,John Greenleaf Whittier Elementary School,405,2010
9,,610026,John H Kinzie Elementary School,736,2010
9,,610180,John M Smyth Elementary School,662,2010
9,,610015,Joseph Jungman Elementary School,323,2010
9,,610129,Josiah Pickard Elementary School,687,2010
9,,610034,Lawndale Elementary Community Academy,589,2010
9,,609872,Manuel Perez Elementary School,485,2010
9,,610240,Matthew A Henson Elementary School,309,2010
9,,610329,Orozco Fine Arts & Sciences Elementary School,620,2010
9,,609867,Peter Cooper Elementary Dual Language Academy,740,2010
9,,609777,Phillip D Armour Elementary School,346,2010
9,,610013,Pilsen Elementary Community Academy,441,2010
9,,610534,Skinner North,105,2010
9,,609990,South Loop Elementary School,640,2010
9,,609991,Theodore Herzl Elementary School,591,2010
9,,609851,Thomas Chalmers Specialty Elementary School,255,2010
9,,610023,William H King Elementary School,312,2010
9,,610232,Williams Multiplex Elementary School,276,2010
9,,610336,Williams Preparatory Academy Middle School,112,2010
10,,609993,Agustin Lara Elementary Academy,582,2010
10,,610254,Anton Dvorak Elementary Specialty Academy,623,2010
10,,609873,Crown Community Academy of Fine Arts Center ES,390,2010
10,,610063,Cyrus H McCormick Elementary School,898,2010
10,,609870,Daniel J Corkery Elementary School,670,2010
10,,609909,Edward Everett Elementary School,346,2010
10,,610227,Eli Whitney Elementary School,"1,128",2010
10,,610319,Evergreen Academy Middle School,392,2010
10,,610215,Francisco I Madero Middle School,326,2010
10,,609958,Frank W Gunsaulus Elementary Scholastic Academy,851,2010
10,,609920,Gerald Delgado Kanoon Elementary Magnet School,682,2010
10,,610273,Ignance Paderewski Elementary Learning Academy,142,2010
10,,610125,Irma C Ruiz Elementary School,975,2010
10,,609983,James Hedges Elementary School,889,2010
10,,609950,Josefa Ortiz De Dominguez Elementary School,771,2010
10,,609938,Joseph E Gary Elementary School,"1,185",2010
10,,610253,Julia C Lathrop Elementary School,164,2010
10,,610024,Lazaro Cardenas Elementary School,612,2010
10,,609834,Little Village Elementary School,801,2010
10,,610017,Maria Saucedo Elementary Scholastic Academy,"1,305",2010
10,,610535,Mason High School,22,2010
10,,610353,McKinley Park Elementary School,307,2010
10,,609876,Nathan S Davis Elementary School,"1,502",2010
10,,610134,Nathaniel Pope Elementary School,176,2010
10,,609826,Rosario Castellanos Elementary School,580,2010
10,,610056,Roswell B Mason Elementary School,540,2010
10,,609921,Telpochcalli Elementary School,249,2010
10,,609967,William F Finkl Elementary School,598,2010
10,,610123,William Penn Elementary School,376,2010
11,,610185,Adlai E Stevenson Elementary School,"1,318",2010
11,,610077,Donald Morrill Math & Science Elementary School,917,2010
11,,610352,Durkin Park Elementary School,535,2010
11,,610006,Edward N Hurley Elementary School,"1,037",2010
11,,610203,Enrico Tonti Elementary School,897,2010
11,,610057,Fairfield Elementary Academy,651,2010
11,,610120,Ferdinand Peck Elementary School,"1,569",2010
11,,610096,Florence Nightingale Elementary School,"1,420",2010
11,,610067,Francis M McKay Elementary School,"1,045",2010
11,,610532,Irene C. Hernandez Middle School for the Advancement of Scie,886,2010
11,,609807,Lionel Hampton Fine & Performing Arts ES,725,2010
11,,610053,Marquette Elementary School,"1,511",2010
11,,609832,Michael M Byrne Elementary School,714,2010
11,,609981,Phobe Apperson Hearst Elementary School,344,2010
11,,609903,Richard Edwards Elementary School,"1,415",2010
11,,610291,Richard Henry Lee Elementary School,"1,082",2010
11,,610226,Socorro Sandoval Elementary School,"1,181",2010
13,,609947,Alexander Graham Elementary School,517,2010
13,,610277,Anthony Overton Elementary School,433,2010
13,,610161,Arna Wendell Bontemps Elementary School,359,2010
13,,610037,Arthur A Libby Elementary School,582,2010
13,,609941,Asa Philip Randolph Elementary School,680,2010
13,,610150,Betsy Ross Elementary School,375,2010
13,,610345,Carter G Woodson South Elementary School,388,2010
