Area,School ID,Network,School,Total,Year
1,610212,,Albany Park Multicultural Academy,261,2011
1,610209,,Alessandro Volta Elementary School,985,2011
1,609836,,Arthur E Canty Elementary School,750,2011
1,609899,,Christian Ebinger Elementary School,633,2011
1,610515,,Disney II Magnet School,312,2011
1,609901,,Edgebrook Elementary School,452,2011
1,610523,,Edison Park Elementary School,381,2011
1,610541,,Federico Garcia Lorca Elementary School,716,2011
1,610144,,Frank W Reilly Elementary School,"1,204",2011
1,609857,,Grover Cleveland Elementary School,699,2011
1,609972,,Helge A Haugan Elementary School,"1,288",2011
1,609798,,Hiram H Belding Elementary School,623,2011
1,610074,,James Monroe Elementary School,"1,112",2011
1,610089,,John B Murphy Elementary School,569,2011
1,609789,,John Barry Elementary School,756,2011
1,610111,,John Palmer Elementary School,930,2011
1,609937,,John W Garvy Elementary School,687,2011
1,610159,,Jonathan Y Scammon Elementary School,921,2011
1,609910,,Laughlin Falconer Elementary School,"1,516",2011
1,610127,,Mary Gage Peterson Elementary School,878,2011
1,610354,,North River Elementary School,287,2011
1,610099,,Norwood Park Elementary School,371,2011
1,610201,,Ole A Thorp Elementary Scholastic Academy,834,2011
1,610145,,Peter A Reinberg Elementary School,833,2011
1,610135,,Portage Park Elementary School,"1,081",2011
1,609995,,Rufus M Hitch Elementary School,518,2011
1,609794,,Thomas A Edison Regional Gifted Center ES,269,2011
1,610321,,Thurgood Marshall Middle School,548,2011
1,609884,,William E Dever Elementary School,837,2011
1,609994,,William G Hibbard Elementary School,"1,205",2011
2,609799,,Alexander Graham Bell Elementary School,952,2011
2,609963,,Alexander Hamilton Elementary School,293,2011
2,609804,,Daniel Boone Elementary School,742,2011
2,609859,,DeWitt Clinton Elementary School,"1,073",2011
2,609852,,Eliza Chappell Elementary School,450,2011
2,609918,,Eugene Field Elementary School,380,2011
2,610010,,Friedrich Ludwig Jahn Elementary School,416,2011
2,609779,,George Armstrong International Studies ES,"1,418",2011
2,610196,,George B Swift Elementary Specialty School,697,2011
2,610187,,Graeme Stewart Elementary School,304,2011
2,610122,,Helen Peirce International Studies ES,907,2011
2,609850,,Horace Greeley Elementary School,566,2011
2,610078,,Inter-American Elementary Magnet School,682,2011
2,610070,,James B McPherson Elementary School,682,2011
2,609803,,James G Blaine Elementary School,917,2011
2,609866,,John C Coonley Elementary School,582,2011
2,610269,,John T McCutcheon Elementary School,341,2011
2,609865,,Jordan Elementary Community School,721,2011
2,610242,,Joseph Brennemann Elementary School,355,2011
2,610189,,Joseph Stockton Elementary School,519,2011
2,610022,,Joyce Kilmer Elementary School,862,2011
2,610094,,Louis Nettelhorst Elementary School,692,2011
2,610205,,Lyman Trumbull Elementary School,469,2011
2,610355,,Mary E Courtenay Elementary Language Arts Center,222,2011
2,610284,,New Field Elementary School,689,2011
2,609792,,Newton Bateman Elementary School,"1,015",2011
2,610147,,Philip Rogers Elementary School,748,2011
2,609880,,Stephen Decatur Classical Elementary School,283,2011
2,609933,,Stephen F Gale Elementary Community Academy,515,2011
2,609976,,Stephen K Hayt Elementary School,999,2011
2,610220,,Thomas J Waters Elementary School,551,2011
2,610363,,Walt Disney Magnet Elementary School,"1,640",2011
2,610542,,West Ridge Elementary School,564,2011
2,609945,,William C Goudy Elementary School,756,2011
3,609904,,Edward K Ellington Elementary School,382,2011
3,610235,,Ella Flagg Young Elementary School,"1,210",2011
3,610020,,Francis Scott Key Elementary School,318,2011
3,610305,,George Leland Elementary School,183,2011
3,609795,,George Rogers Clark Elementary School,304,2011
3,610092,,Henry H Nash Elementary School,441,2011
3,610183,,Herbert Spencer Elementary Math & Science Academy,786,2011
3,610058,,Horatio May Elementary Community Academy,501,2011
3,609975,,John Hay Elementary Community Academy,575,2011
3,610043,,Joseph Lovett Elementary School,467,2011
3,610041,,Josephine C Locke Elementary School,"1,299",2011
3,610036,,Leslie Lewis Elementary School,629,2011
3,610156,,Louis Armstrong Math & Science Elementary School,108,2011
3,609818,,Luther Burbank Elementary School,"1,200",2011
3,609830,,Milton Brunson Math & Science Specialty ES,648,2011
3,610367,,Oscar DePriest Elementary School,567,2011
3,609906,,Robert Emmet Elementary School,495,2011
3,610282,,Ronald E McNair Elementary School,496,2011
4,610210,,Alexander von Humboldt Elementary School,461,2011
4,610098,,Alfred Nobel Elementary School,808,2011
4,609780,,Ames Middle School,567,2011
4,610320,,Ana Roque de Duprey Elementary School,86,2011
4,609922,,Belmont-Cragin Elementary School,632,2011
4,610076,,Bernhard Moos Elementary School,487,2011
4,610106,,Brian Piccolo Elementary Specialty School,587,2011
4,609875,,Charles R Darwin Elementary School,671,2011
4,609863,,Christopher Columbus Elementary School,328,2011
4,609835,,Daniel R Cameron Elementary School,861,2011
4,610533,,Dr Jorge Prieto Math and Science,944,2011
4,610165,,Franz Peter Schubert Elementary School,989,2011
4,609854,,Frederic Chopin Elementary School,309,2011
4,610068,,Hanson Park Elementary School,"1,438",2011
4,610192,,Harriet Beecher Stowe Elementary School,923,2011
4,610040,,Henry D Lloyd Elementary School,"1,296",2011
4,610044,,James Russell Lowell Elementary School,598,2011
4,610031,,Jean D Lafayette Elementary School,497,2011
4,610539,,Marvin Camras Elementary School,664,2011
4,610051,,Northwest Middle School,816,2011
4,610021,,Pablo Casals Elementary School,507,2011
4,610234,,Richard Yates Elementary School,711,2011
4,609853,,Salmon P Chase Elementary School,496,2011
4,609968,,Sharon Christa McAuliffe Elementary School,805,2011
4,610100,,West Park Elementary Academy,713,2011
4,610097,,William P Nixon Elementary School,"1,039",2011
4,610088,,Wolfgang A Mozart Elementary School,810,2011
6,610229,,A.N. Pritzker School,626,2011
6,610038,,Abraham Lincoln Elementary School,741,2011
6,610342,,Albert R Sabin Elementary Magnet School,597,2011
6,610524,,Alcott High School for the Humanities,177,2011
6,609820,,Augustus H Burley Elementary School,568,2011
6,609787,,Avondale Elementary School,724,2011
6,610039,,Carl von Linne Elementary School,621,2011
6,610012,,Edward Jenner Elementary Academy of the Arts,376,2011
6,610119,,Elizabeth Peabody Elementary School,256,2011
6,609926,,Franklin Elementary Fine Arts Center,363,2011
6,610048,,George Manierre Elementary School,458,2011
6,610164,,George Schneider Elementary School,73,2011
6,609776,,Hans Christian Andersen Community Academy ES,103,2011
6,609974,,Hawthorne Elementary Scholastic Academy,567,2011
6,610107,,James Otis Elementary School,438,2011
6,609828,,Jonathan Burr Elementary School,355,2011
6,610313,,Jose De Diego Elementary Community Academy,906,2011
6,610033,,LaSalle Elementary Language Academy,576,2011
6,610325,,Logandale Middle School,254,2011
6,609809,,Lorenz Brentano Math & Science Academy ES,462,2011
6,609773,,Louis A Agassiz Elementary School,430,2011
6,609774,,Louisa May Alcott Elementary School,511,2011
6,610197,,Mancel Talcott Elementary School,549,2011
6,610059,,Oscar F Mayer Elementary School,595,2011
6,609838,,Philo Carpenter Elementary School,138,2011
6,610138,,Pulaski International Academy Elmentary School,830,2011
6,610029,,Rodolfo Lozano Bilingual & International Ctr ES,335,2011
6,609896,,Thomas Drummond Elementary School,319,2011
6,610136,,William H Prescott Elementary School,205,2011
7,610131,,Ambrose Plamondon Elementary School,161,2011
7,610005,,Charles Evans Hughes Elementary School,304,2011
7,610221,,Daniel Webster Elementary School,373,2011
7,609881,,Edward C Delano Elementary School,426,2011
7,610503,,Frazier Prospective IB Magnet ES,215,2011
7,610202,,George W Tilton Elementary School,355,2011
7,610241,,Guglielmo Marconi Elementary Community Academy,233,2011
7,609985,,Helen M Hefferan Elementary School,287,2011
7,609797,,Jacob Beidler Elementary School,408,2011
7,610271,,Jensen Elementary Scholastic Academy,409,2011
7,610243,,John Calhoun North Elementary School,303,2011
7,609954,,John Milton Gregory Elementary School,368,2011
7,609925,,Joseph Kellman Corporate Community ES,294,2011
7,610133,,Laura S Ward Elementary School,441,2011
7,609907,,Leif Ericson Elementary Scholastic Academy,501,2011
7,610154,,Martin A Ryerson Elementary School,463,2011
7,610055,,Michael Faraday Elementary School,205,2011
7,610348,,Nathan R Goldblatt Elementary School,273,2011
7,610252,,Robert Nathaniel Dett Elementary School,246,2011
7,610405,,Suder Montessori Magnet ES,308,2011
7,609989,,Victor Herbert Elementary School,376,2011
7,610121,,Washington Irving Elementary School,497,2011
7,610251,,Willa Cather Elementary School,219,2011
7,609812,,William H Brown Elementary School,214,2011
9,609966,,Charles G Hammond Elementary School,448,2011
9,609996,,Charles N Holden Elementary School,592,2011
9,610293,,Genevieve Melody Elementary School,335,2011
9,610062,,George B McClellan Elementary School,274,2011
9,610216,,John A Walsh Elementary School,484,2011
9,609894,,John B Drake Elementary School,247,2011
9,610228,,John Greenleaf Whittier Elementary School,414,2011
9,610026,,John H Kinzie Elementary School,720,2011
9,610180,,John M Smyth Elementary School,575,2011
9,610015,,Joseph Jungman Elementary School,300,2011
9,610129,,Josiah Pickard Elementary School,665,2011
9,610034,,Lawndale Elementary Community Academy,548,2011
9,609872,,Manuel Perez Elementary School,438,2011
9,610240,,Matthew A Henson Elementary School,280,2011
9,610329,,Orozco Fine Arts & Sciences Elementary School,634,2011
9,609867,,Peter Cooper Elementary Dual Language Academy,718,2011
9,609777,,Phillip D Armour Elementary School,332,2011
9,610013,,Pilsen Elementary Community Academy,437,2011
9,610534,,Skinner North,167,2011
9,609990,,South Loop Elementary School,690,2011
9,609991,,Theodore Herzl Elementary School,554,2011
9,609851,,Thomas Chalmers Specialty Elementary School,261,2011
9,610023,,William H King Elementary School,295,2011
9,610232,,Williams Multiplex Elementary School,254,2011
9,610336,,Williams Preparatory Academy Middle School,114,2011
10,609993,,Agustin Lara Elementary Academy,559,2011
10,610254,,Anton Dvorak Elementary Specialty Academy,550,2011
10,610353,,Calmeca Academy of Fine Arts and Dual Language,693,2011
10,609873,,Crown Community Academy of Fine Arts Center ES,337,2011
10,610063,,Cyrus H McCormick Elementary School,895,2011
10,609870,,Daniel J Corkery Elementary School,642,2011
10,609909,,Edward Everett Elementary School,333,2011
10,610227,,Eli Whitney Elementary School,"1,114",2011
10,610319,,Evergreen Academy Middle School,381,2011
10,610215,,Francisco I Madero Middle School,310,2011
10,609958,,Frank W Gunsaulus Elementary Scholastic Academy,903,2011
10,609920,,Gerald Delgado Kanoon Elementary Magnet School,707,2011
10,610273,,Ignance Paderewski Elementary Learning Academy,134,2011
10,610125,,Irma C Ruiz Elementary School,927,2011
10,609983,,James Hedges Elementary School,878,2011
10,609950,,Josefa Ortiz De Dominguez Elementary School,777,2011
10,609938,,Joseph E Gary Elementary School,"1,180",2011
10,610253,,Julia C Lathrop Elementary School,116,2011
10,610024,,Lazaro Cardenas Elementary School,637,2011
10,609834,,Little Village Elementary School,795,2011
10,610017,,Maria Saucedo Elementary Scholastic Academy,"1,332",2011
10,610535,,Mason High School,40,2011
10,609876,,Nathan S Davis Elementary School,"1,048",2011
10,610134,,Nathaniel Pope Elementary School,173,2011
10,609826,,Rosario Castellanos Elementary School,545,2011
10,610056,,Roswell B Mason Elementary School,519,2011
10,609921,,Telpochcalli Elementary School,253,2011
10,609967,,William F Finkl Elementary School,551,2011
10,610123,,William Penn Elementary School,418,2011
11,610185,,Adlai E Stevenson Elementary School,"1,335",2011
11,610077,,Donald Morrill Math & Science Elementary School,796,2011
11,610352,,Durkin Park Elementary School,548,2011
11,610006,,Edward N Hurley Elementary School,848,2011
11,610203,,Enrico Tonti Elementary School,937,2011
11,610057,,Fairfield Elementary Academy,612,2011
11,610120,,Ferdinand Peck Elementary School,"1,567",2011
11,610096,,Florence Nightingale Elementary School,"1,309",2011
11,610067,,Francis M McKay Elementary School,969,2011
11,610532,,Irene C. Hernandez Middle School for the Advancement of Scie,986,2011
11,609807,,Lionel Hampton Fine & Performing Arts ES,689,2011
11,610544,,Mariano Azuela Elementary School,766,2011
11,610053,,Marquette Elementary School,"1,435",2011
11,609832,,Michael M Byrne Elementary School,692,2011
11,609981,,Phobe Apperson Hearst Elementary School,346,2011
11,609903,,Richard Edwards Elementary School,"1,413",2011
11,610291,,Richard Henry Lee Elementary School,855,2011
