Network,School ID,School,Total,Year,Area
ES Network - Austin-North Lawndale,610131,Ambrose Plamondon Elementary School,178,2013,
ES Network - Austin-North Lawndale,610005,Charles Evans Hughes Elementary School,286,2013,
ES Network - Austin-North Lawndale,609873,Crown Community Academy of Fine Arts Center ES,279,2013,
ES Network - Austin-North Lawndale,610254,Dvorak Technology Academy,534,2013,
ES Network - Austin-North Lawndale,609904,Edward K Ellington Elementary School,337,2013,
ES Network - Austin-North Lawndale,610235,Ella Flagg Young Elementary School,"1,121",2013,
ES Network - Austin-North Lawndale,610020,Francis Scott Key Elementary School,306,2013,
ES Network - Austin-North Lawndale,610503,Frazier Prospective IB Magnet ES,224,2013,
ES Network - Austin-North Lawndale,610305,George Leland Elementary School,170,2013,
ES Network - Austin-North Lawndale,609795,George Rogers Clark Elementary School,278,2013,
ES Network - Austin-North Lawndale,610158,Harriet E Sayre Elementary Language Academy,592,2013,
ES Network - Austin-North Lawndale,610092,Henry H Nash Elementary School,392,2013,
ES Network - Austin-North Lawndale,610058,Horatio May Elementary Community Academy,463,2013,
ES Network - Austin-North Lawndale,609975,John Hay Elementary Community Academy,582,2013,
ES Network - Austin-North Lawndale,610043,Joseph Lovett Elementary School,488,2013,
ES Network - Austin-North Lawndale,610034,Lawndale Elementary Community Academy,478,2013,
ES Network - Austin-North Lawndale,610036,Leslie Lewis Elementary School,569,2013,
ES Network - Austin-North Lawndale,610156,Louis Armstrong Math & Science Elementary School,98,2013,
ES Network - Austin-North Lawndale,610240,Matthew A Henson Elementary School,252,2013,
ES Network - Austin-North Lawndale,609830,Milton Brunson Math & Science Specialty ES,622,2013,
ES Network - Austin-North Lawndale,610134,Nathaniel Pope Elementary School,184,2013,
ES Network - Austin-North Lawndale,610367,Oscar DePriest Elementary School,549,2013,
ES Network - Austin-North Lawndale,609906,Robert Emmet Elementary School,458,2013,
ES Network - Austin-North Lawndale,610282,Ronald E McNair Elementary School,395,2013,
ES Network - Austin-North Lawndale,610056,Roswell B Mason Elementary School,485,2013,
ES Network - Austin-North Lawndale,610183,Spencer Technology Academy,838,2013,
ES Network - Austin-North Lawndale,609991,Theodore Herzl Elementary School,502,2013,
ES Network - Austin-North Lawndale,609851,Thomas Chalmers Specialty Elementary School,364,2013,
ES Network - Austin-North Lawndale,610123,William Penn Elementary School,370,2013,
ES Network - Burnham Park,609837,Andrew Carnegie Elementary School,692,2013,
ES Network - Burnham Park,610277,Anthony Overton Elementary School,431,2013,
ES Network - Burnham Park,609951,Ariel Elementary Community Academy,559,2013,
ES Network - Burnham Park,610169,Austin O Sexton Elementary School,359,2013,
ES Network - Burnham Park,610150,Betsy Ross Elementary School,344,2013,
ES Network - Burnham Park,610175,Beulah Shoesmith Elementary School,345,2013,
ES Network - Burnham Park,609969,Bret Harte Elementary School,328,2013,
ES Network - Burnham Park,610345,Carter G Woodson South Elementary School,370,2013,
ES Network - Burnham Park,610030,Charles Kozminski Elementary Community Academy,370,2013,
ES Network - Burnham Park,609781,Crispus Attucks Elementary School,275,2013,
ES Network - Burnham Park,610266,Dumas Technology Academy,331,2013,
ES Network - Burnham Park,609819,Edmond Burke Elementary School,272,2013,
ES Network - Burnham Park,610246,Edward Beasley Elementary Magnet Academic Center,"1,455",2013,
ES Network - Burnham Park,610065,Emmett Louis Till Math and Science Academy,492,2013,
ES Network - Burnham Park,610110,Ida B Wells Preparatory Elementary Academy,198,2013,
ES Network - Burnham Park,610276,Irvin C Mollison Elementary School,237,2013,
ES Network - Burnham Park,610256,Jackie Robinson Elementary School,139,2013,
ES Network - Burnham Park,609891,James R Doolittle Jr Elementary School,295,2013,
ES Network - Burnham Park,610213,James Wadsworth Elementary School,251,2013,
ES Network - Burnham Park,609894,John B Drake Elementary School,242,2013,
ES Network - Burnham Park,609919,John Fiske Elementary School,220,2013,
ES Network - Burnham Park,610126,John J Pershing Elementary Humanities Magnet,249,2013,
ES Network - Burnham Park,610237,Ludwig Van Beethoven Elementary School,389,2013,
ES Network - Burnham Park,609928,Melville W Fuller Elementary School,270,2013,
ES Network - Burnham Park,610018,Miriam G Canter Middle School,228,2013,
ES Network - Burnham Park,610395,Pershing West Middle School,240,2013,
ES Network - Burnham Park,610090,Phillip Murray Elementary Language Academy,523,2013,
ES Network - Burnham Park,609990,South Loop Elementary School,815,2013,
ES Network - Burnham Park,610143,William C Reavis Math & Science Specialty ES,279,2013,
ES Network - Burnham Park,610142,William H Ray Elementary School,676,2013,
ES Network - Burnham Park,610061,William J & Charles H Mayo Elementary School,408,2013,
ES Network - Burnham Park,609844,William W Carter Elementary School,346,2013,
ES Network - Burnham Park,610232,Williams Multiplex Elementary School,256,2013,
ES Network - Burnham Park,610336,Williams Preparatory Academy Middle School,127,2013,
ES Network - Burnham Park,609977,Woodlawn Community Elementary School,244,2013,
ES Network - Englewood-Gresham,610339,Amos Alonzo Stagg Elementary School,535,2013,
ES Network - Englewood-Gresham,609869,Anna R. Langford Community Academy,325,2013,
ES Network - Englewood-Gresham,610161,Arna Wendell Bontemps Elementary School,314,2013,
ES Network - Englewood-Gresham,609941,Asa Philip Randolph Elementary School,538,2013,
ES Network - Englewood-Gresham,610265,Benjamin Banneker Elementary School,337,2013,
ES Network - Englewood-Gresham,610290,Benjamin E Mays Elementary Academy,307,2013,
ES Network - Englewood-Gresham,610238,Carrie Jacobs Bond Elementary School,478,2013,
ES Network - Englewood-Gresham,609986,Charles R Henderson Elementary School,356,2013,
ES Network - Englewood-Gresham,609897,Charles W Earle Elementary School,358,2013,
ES Network - Englewood-Gresham,609790,Clara Barton Elementary School,643,2013,
ES Network - Englewood-Gresham,610223,Daniel S Wentworth Elementary School,333,2013,
ES Network - Englewood-Gresham,609913,Elaine O Goodlow Elementary Magnet School,378,2013,
ES Network - Englewood-Gresham,609927,Foster Park Elementary School,401,2013,
ES Network - Englewood-Gresham,610112,Francis W Parker Elementary Community Academy,836,2013,
ES Network - Englewood-Gresham,610072,Garrett A Morgan Elementary School,236,2013,
ES Network - Englewood-Gresham,610285,Granville T Woods Math & Science Academy ES,371,2013,
ES Network - Englewood-Gresham,610173,Jesse Sherwood Elementary School,312,2013,
ES Network - Englewood-Gresham,609775,John P Altgeld Elementary School,443,2013,
ES Network - Englewood-Gresham,609864,John W Cook Elementary School,459,2013,
ES Network - Englewood-Gresham,610019,Joshua D Kershaw Elementary School,260,2013,
ES Network - Englewood-Gresham,610108,Luke O'Toole Elementary School,434,2013,
ES Network - Englewood-Gresham,610369,Mahalia Jackson Elementary School,302,2013,
ES Network - Englewood-Gresham,609793,Nicholson Technology Academy,469,2013,
ES Network - Englewood-Gresham,609997,Oliver Wendell Holmes Elementary School,288,2013,
ES Network - Englewood-Gresham,610003,Paul Cuffe Math-Science Technology Academy ES,458,2013,
ES Network - Englewood-Gresham,609791,Perkins Bass Elementary School,336,2013,
ES Network - Englewood-Gresham,610102,Richard J Oglesby Elementary School,442,2013,
ES Network - Englewood-Gresham,609805,Scott Joplin Elementary School,493,2013,
ES Network - Englewood-Gresham,610521,Sir Miles Davis Magnet Elementary Academy,291,2013,
