Network,School ID,School,Totals,year
AUSL,610339,Amos Alonzo Stagg Elementary School,589,2014
AUSL,610106,Brian Piccolo Elementary Specialty School,544,2014
AUSL,609883,Charles S Deneen Elementary School,619,2014
AUSL,610248,Chicago Academy Elementary School,600,2014
AUSL,610340,Chicago Academy High School,518,2014
AUSL,610499,Collins Academy High School,384,2014
AUSL,609885,Dewey Elementary Academy of Fine Arts,360,2014
AUSL,610543,Eric Solorio Academy High School,"1,068",2014
AUSL,609900,George W Curtis Elementary School,626,2014
AUSL,610103,Isabelle C O'Keeffe Elementary School,588,2014
AUSL,610274,James Weldon Johnson Elementary School,435,2014
AUSL,610263,John Foster Dulles Elementary School,788,2014
AUSL,609971,John Harvard Elementary School of Excellence,501,2014
AUSL,610000,Julia Ward Howe Elementary School of Excellence,646,2014
AUSL,610036,Leslie Lewis Elementary School,488,2014
AUSL,610053,Marquette Elementary School,"1,296",2014
AUSL,609888,Mary Mapes Dodge Elementary Renaissance Academy,248,2014
AUSL,609928,Melville W Fuller Elementary School,299,2014
AUSL,610257,Morton School of Excellence,412,2014
AUSL,609806,Myra Bradwell Communications Arts & Sciences ES,834,2014
AUSL,610231,National Teachers Elementary Academy,585,2014
AUSL,610389,Orr Academy High School,647,2014
AUSL,610021,Pablo Casals Elementary School,468,2014
AUSL,610396,Tarkington School of Excellence ES,"1,056",2014
AUSL,609991,Theodore Herzl Elementary School,554,2014
AUSL,609851,Thomas Chalmers Specialty Elementary School,406,2014
AUSL,609727,Wendell Phillips Academy High School,670,2014
AUSL,610172,William T Sherman Elementary School,391,2014
AUSL,609844,William W Carter Elementary School,439,2014
Military,610513,Air Force Academy High School,369,2014
Military,609754,Chicago Military Academy High School,405,2014
Military,609760,George Washington Carver Military Academy HS,529,2014
Military,610390,Hyman G Rickover Naval Academy High School,507,2014
Military,610502,Marine Military Math and Science Academy,401,2014
Military,610304,Phoenix Military Academy High School,497,2014
Network 1,610212,Albany Park Multicultural Academy,280,2014
Network 1,610209,Alessandro Volta Elementary School,"1,034",2014
Network 1,609836,Arthur E Canty Elementary School,812,2014
Network 1,609729,Carl Schurz High School,"2,379",2014
Network 1,609899,Christian Ebinger Elementary School,732,2014
Network 1,610083,Daniel C Beard Elementary School,169,2014
Network 1,610564,Disney II Magnet High School,247,2014
Network 1,610515,Disney II Magnet School,414,2014
Network 1,609901,Edgebrook Elementary School,504,2014
Network 1,610523,Edison Park Elementary School,470,2014
Network 1,609708,Edwin G Foreman High School,"1,507",2014
Network 1,610137,Ernst Prussing Elementary School,687,2014
Network 1,609874,Everett McKinley Dirksen Elementary School,807,2014
Network 1,610163,Frederick Stock Elementary School,241,2014
Network 1,609737,Friedrich W von Steuben Metropolitan Science HS,"1,666",2014
Network 1,609857,Grover Cleveland Elementary School,689,2014
Network 1,610182,Hannah G Solomon Elementary School,357,2014
Network 1,609972,Helge A Haugan Elementary School,"1,207",2014
Network 1,609798,Hiram H Belding Elementary School,606,2014
Network 1,609766,Jacqueline B Vaughn Occupational High School,214,2014
Network 1,609912,James B Farnsworth Elementary School,597,2014
Network 1,609796,Jean Baptiste Beaubien Elementary School,"1,166",2014
Network 1,610089,John B Murphy Elementary School,606,2014
Network 1,610111,John Palmer Elementary School,906,2014
Network 1,609937,John W Garvy Elementary School,792,2014
Network 1,610159,Jonathan Y Scammon Elementary School,872,2014
Network 1,610127,Mary Gage Peterson Elementary School,860,2014
Network 1,609792,Newton Bateman Elementary School,"1,036",2014
Network 1,609810,Norman A Bridge Elementary School,"1,049",2014
Network 1,610354,North River Elementary School,403,2014
Network 1,609749,Northside College Preparatory High School,"1,069",2014
Network 1,609744,Northside Learning Center High School,284,2014
Network 1,610099,Norwood Park Elementary School,367,2014
Network 1,610201,Ole A Thorp Elementary Scholastic Academy,846,2014
Network 1,610105,Oriole Park Elementary School,661,2014
Network 1,609988,Patrick Henry Elementary School,683,2014
Network 1,610145,Peter A Reinberg Elementary School,840,2014
Network 1,610135,Portage Park Elementary School,"1,114",2014
Network 1,609995,Rufus M Hitch Elementary School,586,2014
Network 1,610155,Sauganash Elementary School,553,2014
Network 1,609728,Theodore Roosevelt High School,"1,437",2014
Network 1,609794,Thomas A Edison Regional Gifted Center ES,276,2014
Network 1,610321,Thurgood Marshall Middle School,275,2014
Network 1,610179,Washington D Smyser Elementary School,"1,006",2014
Network 1,610230,Wildwood Elementary School,424,2014
Network 1,609884,William E Dever Elementary School,847,2014
Network 1,609994,William G Hibbard Elementary School,"1,221",2014
Network 1,609734,William Howard Taft High School,"3,195",2014
Network 1,610104,William J Onahan Elementary School,670,2014
Network 1,609949,William P Gray Elementary School,"1,303",2014
Network 2,609804,Daniel Boone Elementary School,805,2014
Network 2,609859,DeWitt Clinton Elementary School,"1,147",2014
Network 2,609852,Eliza Chappell Elementary School,551,2014
Network 2,609918,Eugene Field Elementary School,390,2014
Network 2,609779,George Armstrong International Studies ES,"1,444",2014
Network 2,610196,George B Swift Elementary Specialty School,696,2014
Network 2,610122,Helen Peirce International Studies ES,"1,041",2014
Network 2,610070,James B McPherson Elementary School,827,2014
Network 2,609866,John C Coonley Elementary School,732,2014
Network 2,610269,John T McCutcheon Elementary School,502,2014
Network 2,609865,Jordan Elementary Community School,656,2014
Network 2,610242,Joseph Brennemann Elementary School,502,2014
Network 2,610022,Joyce Kilmer Elementary School,804,2014
Network 2,609719,Lake View High School,"1,436",2014
Network 2,609817,Lyman A Budlong Elementary School,874,2014
Network 2,610355,Mary E Courtenay Elementary Language Arts Center,631,2014
Network 2,610011,Minnie Mars Jamieson Elementary School,900,2014
Network 2,610284,New Field Elementary School,589,2014
Network 2,609730,Nicholas Senn High School,"1,162",2014
Network 2,610147,Philip Rogers Elementary School,752,2014
Network 2,610141,Ravenswood Elementary School,508,2014
Network 2,609695,Roald Amundsen High School,"1,266",2014
Network 2,609733,Roger C Sullivan High School,708,2014
Network 2,609880,Stephen Decatur Classical Elementary School,286,2014
Network 2,609933,Stephen F Gale Elementary Community Academy,462,2014
Network 2,609976,Stephen K Hayt Elementary School,984,2014
Network 2,609724,Stephen T Mather High School,"1,623",2014
Network 2,610191,Stone Elementary Scholastic Academy,634,2014
Network 2,610220,Thomas J Waters Elementary School,670,2014
Network 2,610394,Uplift Community High School,354,2014
Network 2,610363,Walt Disney Magnet Elementary School,"1,678",2014
Network 2,610542,West Ridge Elementary School,753,2014
Network 2,609945,William C Goudy Elementary School,797,2014
Network 3,400018,Austin Business and Entrepreneurship Academy HS,186,2014
Network 3,610501,Austin Polytechnical Academy High School,196,2014
Network 3,609922,Belmont-Cragin Elementary School,587,2014
Network 3,609679,Charles Allen Prosser Career Academy High School,"1,514",2014
Network 3,609732,Charles P Steinmetz College Preparatory HS,"1,809",2014
Network 3,610533,Dr Jorge Prieto Math and Science,"1,051",2014
Network 3,609904,Edward K Ellington Elementary School,735,2014
Network 3,610235,Ella Flagg Young Elementary School,"1,085",2014
Network 3,610165,Franz Peter Schubert Elementary School,967,2014
Network 3,610245,Frederick A Douglass Academy High School,291,2014
Network 3,610305,George Leland Elementary School,673,2014
Network 3,609795,George Rogers Clark Elementary School,279,2014
Network 3,610068,Hanson Park Elementary School,"1,612",2014
Network 3,610158,Harriet E Sayre Elementary Language Academy,571,2014
Network 3,610040,Henry D Lloyd Elementary School,"1,268",2014
Network 3,610092,Henry H Nash Elementary School,403,2014
Network 3,609975,John Hay Elementary Community Academy,541,2014
Network 3,610043,Joseph Lovett Elementary School,469,2014
Network 3,610041,Josephine C Locke Elementary School,"1,389",2014
Network 3,609910,Laughlin Falconer Elementary School,"1,434",2014
Network 3,609818,Luther Burbank Elementary School,955,2014
Network 3,610539,Marvin Camras Elementary School,"1,001",2014
Network 3,610046,Mary Lyon Elementary School,"1,425",2014
Network 3,610244,Michele Clark Academic Prep Magnet High School,499,2014
Network 3,609830,Milton Brunson Math & Science Specialty ES,645,2014
Network 3,610051,Northwest Middle School,667,2014
