Network,School ID,School, Totals ,year
AUSL,610339,Amos Alonzo Stagg Elementary School, 507 ,2016
AUSL,610106,Brian Piccolo Elementary Specialty School, 589 ,2016
AUSL,609883,Charles S Deneen Elementary School, 577 ,2016
AUSL,610248,Chicago Academy Elementary School, 612 ,2016
AUSL,610340,Chicago Academy High School, 542 ,2016
AUSL,610499,Collins Academy High School, 355 ,2016
AUSL,609885,Dewey Elementary Academy of Fine Arts, 403 ,2016
AUSL,610254,Dvorak Technology Academy, 464 ,2016
AUSL,610543,Eric Solorio Academy High School," 1,111 ",2016
AUSL,609900,George W Curtis Elementary School, 628 ,2016
AUSL,610103,Isabelle C O'Keeffe Elementary School, 713 ,2016
AUSL,610274,James Weldon Johnson Elementary School, 520 ,2016
AUSL,610263,John Foster Dulles Elementary School, 740 ,2016
AUSL,609971,John Harvard Elementary School of Excellence, 425 ,2016
AUSL,610000,Julia Ward Howe Elementary School of Excellence, 527 ,2016
AUSL,610036,Leslie Lewis Elementary School, 499 ,2016
AUSL,610053,Marquette Elementary School," 1,238 ",2016
AUSL,609888,Mary Mapes Dodge Elementary Renaissance Academy, 122 ,2016
AUSL,609928,Melville W Fuller Elementary School, 392 ,2016
AUSL,610257,Morton School of Excellence, 340 ,2016
AUSL,609806,Myra Bradwell Communications Arts & Sciences ES, 704 ,2016
AUSL,610231,National Teachers Elementary Academy, 649 ,2016
AUSL,610389,Orr Academy High School, 405 ,2016
AUSL,610021,Pablo Casals Elementary School, 458 ,2016
AUSL,610282,Ronald E McNair Elementary School, 421 ,2016
AUSL,610396,Tarkington School of Excellence ES," 1,012 ",2016
AUSL,609991,Theodore Herzl Elementary School, 620 ,2016
AUSL,609851,Thomas Chalmers Specialty Elementary School, 388 ,2016
AUSL,609955,Walter Q Gresham Elementary School, 345 ,2016
AUSL,609727,Wendell Phillips Academy High School, 643 ,2016
AUSL,610172,William T Sherman Elementary School, 321 ,2016
AUSL,609844,William W Carter Elementary School, 426 ,2016
Service Leadership Academies,610513,Air Force Academy High School, 328 ,2016
Service Leadership Academies,609754,Chicago Military Academy High School, 326 ,2016
Service Leadership Academies,609760,George Washington Carver Military Academy HS, 490 ,2016
Service Leadership Academies,610390,Hyman G Rickover Naval Academy High School, 577 ,2016
Service Leadership Academies,609780,Marine Leadership Academy at Ames, 793 ,2016
Service Leadership Academies,610502,Marine Military Math and Science Academy,,2016
Service Leadership Academies,610304,Phoenix Military Academy High School, 520 ,2016
ISP,610084,Annie Keller Elementary Gifted Magnet School, 244 ,2016
ISP,609951,Ariel Elementary Community Academy, 542 ,2016
ISP,609764,Benito Juarez Community Academy High School," 1,686 ",2016
ISP,610076,Bernhard Moos Elementary School, 566 ,2016
ISP,609821,Burnham Elementary Inclusive Academy, 552 ,2016
ISP,610148,Cesar E Chavez Multicultural Academic Center ES, 983 ,2016
ISP,610564,Disney II Magnet High School, 635 ,2016
ISP,610515,Disney II Magnet School, 416 ,2016
ISP,610533,Dr Jorge Prieto Math and Science," 1,051 ",2016
ISP,609901,Edgebrook Elementary School, 511 ,2016
ISP,609973,Emiliano Zapata Elementary Academy, 882 ,2016
ISP,610120,Ferdinand Peck Elementary School," 1,646 ",2016
ISP,609726,Gwendolyn Brooks College Preparatory Academy HS, 836 ,2016
ISP,610040,Henry D Lloyd Elementary School," 1,237 ",2016
ISP,609893,John C Dore Elementary School, 715 ,2016
ISP,609959,John Charles Haines Elementary School, 659 ,2016
ISP,610026,John H Kinzie Elementary School, 669 ,2016
ISP,609723,John Marshall Metropolitan High School, 425 ,2016
ISP,610298,Lenart Elementary Regional Gifted Center, 290 ,2016
ISP,609738,Lincoln Park High School," 2,114 ",2016
ISP,609872,Manuel Perez Elementary School, 332 ,2016
ISP,610177,Mark Skinner Elementary School," 1,042 ",2016
ISP,609842,Rachel Carson Elementary School," 1,092 ",2016
ISP,609979,Robert Healy Elementary School," 1,453 ",2016
ISP,609990,South Loop Elementary School, 868 ,2016
ISP,610363,Walt Disney Magnet Elementary School," 1,624 ",2016
ISP,609680,Walter Payton College Preparatory High School, 887 ,2016
ISP,609755,Whitney M Young Magnet High School," 2,157 ",2016
ISP,609678,William Jones College Preparatory High School," 1,670 ",2016
Network 1,610212,Albany Park Multicultural Academy, 286 ,2016
Network 1,610209,Alessandro Volta Elementary School, 949 ,2016
Network 1,609836,Arthur E Canty Elementary School, 833 ,2016
Network 1,609729,Carl Schurz High School," 2,002 ",2016
Network 1,609899,Christian Ebinger Elementary School, 776 ,2016
Network 1,610083,Daniel C Beard Elementary School, 171 ,2016
Network 1,610523,Edison Park Elementary School, 549 ,2016
Network 1,609708,Edwin G Foreman High School," 1,045 ",2016
Network 1,610137,Ernst Prussing Elementary School, 698 ,2016
Network 1,609874,Everett McKinley Dirksen Elementary School, 859 ,2016
Network 1,610163,Frederick Stock Elementary School, 234 ,2016
Network 1,609737,Friedrich W von Steuben Metropolitan Science HS," 1,657 ",2016
Network 1,609857,Grover Cleveland Elementary School, 679 ,2016
Network 1,610182,Hannah G Solomon Elementary School, 355 ,2016
Network 1,609972,Helge A Haugan Elementary School," 1,034 ",2016
Network 1,609798,Hiram H Belding Elementary School, 605 ,2016
Network 1,609766,Jacqueline B Vaughn Occupational High School, 193 ,2016
Network 1,609912,James B Farnsworth Elementary School, 613 ,2016
Network 1,609796,Jean Baptiste Beaubien Elementary School," 1,117 ",2016
Network 1,610089,John B Murphy Elementary School, 583 ,2016
Network 1,610111,John Palmer Elementary School, 891 ,2016
Network 1,609937,John W Garvy Elementary School, 810 ,2016
Network 1,610159,Jonathan Y Scammon Elementary School, 928 ,2016
Network 1,610127,Mary Gage Peterson Elementary School, 927 ,2016
Network 1,609792,Newton Bateman Elementary School," 1,040 ",2016
Network 1,609810,Norman A Bridge Elementary School," 1,108 ",2016
Network 1,610354,North River Elementary School, 338 ,2016
Network 1,609749,Northside College Preparatory High School," 1,056 ",2016
Network 1,609744,Northside Learning Center High School, 243 ,2016
Network 1,610099,Norwood Park Elementary School, 401 ,2016
Network 1,610201,Ole A Thorp Elementary Scholastic Academy, 841 ,2016
Network 1,610105,Oriole Park Elementary School, 709 ,2016
