School ID,School Name,Network, Total ,year
610212,Albany Park Multicultural Academy,Network 1,290,2018
610209,Alessandro Volta Elementary School,Network 1,894,2018
609836,Arthur E Canty Elementary School,Network 1,859,2018
609729,Carl Schurz High School,Network 1,1739,2018
610083,Daniel C Beard Elementary School,Network 1,185,2018
610564,Disney II Magnet High School,Network 1,711,2018
610515,Disney II Magnet School,Network 1,432,2018
609901,Edgebrook Elementary School,Network 1,509,2018
610523,Edison Park Elementary School,Network 1,541,2018
610137,Ernst Prussing Elementary School,Network 1,738,2018
609874,Everett McKinley Dirksen Elementary School,Network 1,926,2018
610163,Frederick Stock Elementary School,Network 1,234,2018
609737,Friedrich W von Steuben Metropolitan Science HS,Network 1,1726,2018
609857,Grover Cleveland Elementary School,Network 1,560,2018
610182,Hannah G Solomon Elementary School,Network 1,349,2018
609972,Helge A Haugan Elementary School,Network 1,906,2018
609798,Hiram H Belding Elementary School,Network 1,580,2018
609766,Jacqueline B Vaughn Occupational High School,Network 1,230,2018
609912,James B Farnsworth Elementary School,Network 1,604,2018
609796,Jean Baptiste Beaubien Elementary School,Network 1,1100,2018
610089,John B Murphy Elementary School,Network 1,521,2018
610111,John Palmer Elementary School,Network 1,806,2018
609937,John W Garvy Elementary School,Network 1,831,2018
610159,Jonathan Y Scammon Elementary School,Network 1,745,2018
610127,Mary Gage Peterson Elementary School,Network 1,890,2018
609792,Newton Bateman Elementary School,Network 1,1008,2018
609810,Norman A Bridge Elementary School,Network 1,1116,2018
610354,North River Elementary School,Network 1,325,2018
609749,Northside College Preparatory High School,Network 1,1061,2018
609744,Northside Learning Center High School,Network 1,230,2018
610099,Norwood Park Elementary School,Network 1,436,2018
610105,Oriole Park Elementary School,Network 1,751,2018
609988,Patrick Henry Elementary School,Network 1,526,2018
610145,Peter A Reinberg Elementary School,Network 1,802,2018
610135,Portage Park Elementary School,Network 1,951,2018
609995,Rufus M Hitch Elementary School,Network 1,567,2018
610155,Sauganash Elementary School,Network 1,604,2018
609728,Theodore Roosevelt High School,Network 1,1099,2018
609794,Thomas A Edison Regional Gifted Center ES,Network 1,271,2018
610230,Wildwood IB World Magnet School,Network 1,494,2018
609884,William E Dever Elementary School,Network 1,781,2018
609994,William G Hibbard Elementary School,Network 1,988,2018
609734,William Howard Taft High School,Network 1,3372,2018
610104,William J Onahan Elementary School,Network 1,659,2018
609949,William P Gray Elementary School,Network 1,1160,2018
609804,Daniel Boone Elementary School,Network 2,832,2018
609859,DeWitt Clinton Elementary School,Network 2,1199,2018
609852,Eliza Chappell Elementary School,Network 2,576,2018
609918,Eugene Field Elementary School,Network 2,158,2018
609779,George Armstrong International Studies ES,Network 2,1412,2018
610196,George B Swift Elementary Specialty School,Network 2,687,2018
610122,Helen Peirce International Studies ES,Network 2,1010,2018
610070,James B McPherson Elementary School,Network 2,692,2018
609866,John C Coonley Elementary School,Network 2,1004,2018
610269,John T McCutcheon Elementary School,Network 2,377,2018
609865,Jordan Elementary Community School,Network 2,511,2018
610022,Joyce Kilmer Elementary School,Network 2,761,2018
609719,Lake View High School,Network 2,1389,2018
609817,Lyman A Budlong Elementary School,Network 2,767,2018
610355,Mary E Courtenay Elementary Language Arts Center,Network 2,400,2018
610011,Minnie Mars Jamieson Elementary School,Network 2,918,2018
610284,New Field Elementary School,Network 2,699,2018
609730,Nicholas Senn High School,Network 2,1443,2018
610147,Philip Rogers Elementary School,Network 2,782,2018
610141,Ravenswood Elementary School,Network 2,552,2018
609733,Roger C Sullivan High School,Network 2,723,2018
609880,Stephen Decatur Classical Elementary School,Network 2,282,2018
609933,Stephen F Gale Elementary Community Academy,Network 2,308,2018
609976,Stephen K Hayt Elementary School,Network 2,1002,2018
609724,Stephen T Mather High School,Network 2,1442,2018
610191,Stone Elementary Scholastic Academy,Network 2,629,2018
610220,Thomas J Waters Elementary School,Network 2,627,2018
610394,Uplift Community High School,Network 2,240,2018
610542,West Ridge Elementary School,Network 2,830,2018
609945,William C. Goudy Technology Academy,Network 2,708,2018
610518,Austin College and Career Academy High School,Network 3,219,2018
609922,Belmont-Cragin Elementary School,Network 3,570,2018
609679,Charles Allen Prosser Career Academy High School,Network 3,1394,2018
609732,Charles P Steinmetz College Preparatory HS,Network 3,1278,2018
609904,Edward K Ellington Elementary School,Network 3,522,2018
609708,Edwin G. Foreman College and Career Academy,Network 3,792,2018
610235,Ella Flagg Young Elementary School,Network 3,805,2018
610165,Franz Peter Schubert Elementary School,Network 3,755,2018
610245,Frederick A Douglass Academy High School,Network 3,101,2018
610305,George Leland Elementary School,Network 3,415,2018
609795,George Rogers Clark Elementary School,Network 3,236,2018
610068,Hanson Park Elementary School,Network 3,1483,2018
610158,Harriet E Sayre Elementary Language Academy,Network 3,450,2018
610092,Henry H Nash Elementary School,Network 3,275,2018
609975,John Hay Elementary Community Academy,Network 3,383,2018
610043,Joseph Lovett Elementary School,Network 3,376,2018
610041,Josephine C Locke Elementary School,Network 3,1337,2018
609910,Laughlin Falconer Elementary School,Network 3,1186,2018
609818,Luther Burbank Elementary School,Network 3,904,2018
610539,Marvin Camras Elementary School,Network 3,932,2018
610046,Mary Lyon Elementary School,Network 3,1410,2018
610244,Michele Clark Academic Prep Magnet High School,Network 3,547,2018
609830,Milton Brunson Math & Science Specialty ES,Network 3,480,2018
610051,Northwest Middle School,Network 3,486,2018
610367,Oscar DePriest Elementary School,Network 3,544,2018
610183,Spencer Technology Academy,Network 3,557,2018
610038,Abraham Lincoln Elementary School,Network 4,895,2018
609720,Albert G Lane Technical High School,Network 4,4438,2018
609799,Alexander Graham Bell Elementary School,Network 4,957,2018
609963,Alexander Hamilton Elementary School,Network 4,480,2018
610144,Frank W Reilly Elementary School,Network 4,923,2018
609930,Frederick Funston Elementary School,Network 4,464,2018
610010,Friedrich L. Jahn Elementary of the Fine Arts,Network 4,311,2018
610048,George Manierre Elementary School,Network 4,344,2018
609974,Hawthorne Elementary Scholastic Academy,Network 4,567,2018
609850,Horace Greeley Elementary School,Network 4,568,2018
610078,Inter-American Elementary Magnet School,Network 4,710,2018
609803,James G Blaine Elementary School,Network 4,888,2018
610074,James Monroe Elementary School,Network 4,825,2018
609942,Johann W von Goethe Elementary School,Network 4,765,2018
609782,John J Audubon Elementary School,Network 4,574,2018
609716,Kelvyn Park High School,Network 4,451,2018
610033,LaSalle Elementary Language Academy,Network 4,561,2018
610325,Logandale Middle School,Network 4,716,2018
609809,Lorenz Brentano Math & Science Academy ES,Network 4,497,2018
610094,Louis Nettelhorst Elementary School,Network 4,789,2018
609774,Louisa May Alcott College Preparatory ES,Network 4,628,2018
610524,Louisa May Alcott College Preparatory HS,Network 4,311,2018
610059,Oscar F Mayer Elementary School,Network 4,760,2018
609853,Salmon P Chase Elementary School,Network 4,416,2018
609968,Sharon Christa McAuliffe Elementary School,Network 4,732,2018
610534,Skinner North,Network 4,494,2018
610095,Walter L Newberry Math & Science Academy ES,Network 4,563,2018
610136,William H Prescott Elementary School,Network 4,433,2018
610097,William P Nixon Elementary School,Network 4,833,2018
610088,Wolfgang A Mozart Elementary School,Network 4,640,2018
610334,Al Raby High School,Network 5,378,2018
610131,Ambrose Plamondon Elementary School,Network 5,138,2018
610005,Charles Evans Hughes Elementary School,Network 5,255,2018
610194,Charles Sumner  Math & Science Community Acad ES,Network 5,276,2018
609873,Crown Community Academy of Fine Arts Center ES,Network 5,255,2018
609835,Daniel R Cameron Elementary School,Network 5,773,2018
610221,Daniel Webster Elementary School,Network 5,298,2018
610503,Frazier Prospective IB Magnet ES,Network 5,205,2018
609854,Frederic Chopin Elementary School,Network 5,422,2018
610293,Genevieve Melody Elementary School,Network 5,477,2018
610202,George W Tilton Elementary School,Network 5,302,2018
609693,George Westinghouse College Prep,Network 5,1189,2018
610192,Harriet Beecher Stowe Elementary School,Network 5,674,2018
609985,Helen M Hefferan Elementary School,Network 5,349,2018
609797,Jacob Beidler Elementary School,Network 5,444,2018
610044,James Russell Lowell Elementary School,Network 5,445,2018
610271,Jensen Elementary Scholastic Academy,Network 5,417,2018
609723,John Marshall Metropolitan High School,Network 5,341,2018
609954,John Milton Gregory Elementary School,Network 5,354,2018
610313,Jose De Diego Elementary Community Academy,Network 5,561,2018
609925,Joseph Kellman Corporate Community ES,Network 5,337,2018
610133,Laura S Ward Elementary School,Network 5,465,2018
610034,Lawndale Elementary Community Academy,Network 5,263,2018
609907,Leif Ericson Elementary Scholastic Academy,Network 5,475,2018
