schools
school,address,zip,year,type,use,2_plus,private,sold,buyer,price,
Dodge Elementary,2651 West Washington Blvd.,60612,2002,school closing,CPS District Offices,Yes,,"no, repurposed",,,
Williams Elementary,2710 South Dearborn St.,60616,2002,school closing,Drake Elementary,Yes,,"no, repurposed",,,
Terrell Elementary,5410 South State St.,60609,2002,school closing,vacant,Yes,,no,,,
Arts of Living HS,1855 North Sheffield Ave.,60614,2003,"real estate, not in shakeup count",apartments,,,yes,Svigos Asset Management,"$4,025,000.00",
Marin Primary,3320 West Evergreen Ave.,60651,2003,school closing,vacant,,,no,,,
Lucy Flower HS,3545 West Fulton Ave.,60624,2003,school closing,Al Raby High School,,,"no, repurposed",,,
Woodson North Middle,4414 S. Evans,60653,2003,school closing,"UChicago - Woodson, Woodson Elementary (turnaround)",Yes,Yes,"no, repurposed",,,
Coleman Elementary,4655 South Dearborn St.,60609,2003,school closing,CPS Network Offices,,,"no, repurposed",,,
Donoghue Elementary,707 East 37th St.,60653,2003,school closing,UChicago - Donoghue,,Yes,"no, repurposed",,,
South Shore HS,7527 South Constance Ave.,60649,2003,school closing,"demolished, vacant land",Yes,,no,,,
Truth Elementary,1443 North Ogden Ave.,60610,2004,school closing,"CICS - ChicagoQuest, The Noble Academy",,Yes,"no, repurposed",,,
Jefferson Elementary,1522 West Fillmore St.,60607,2004,school closing,STEM Magnet Elementary,,,"no, repurposed",,,
Spalding HS,1628 West Washington Blvd.,60612,2004,school closing,Hope Institute Charter School,,,,,,
Spalding Elementary,1628 West Washington Blvd.,60612,2004,school closing,Hope Institute Charter School,Yes,Yes,"no, repurposed",,,
Suder Elementary,2022 West Washington Blvd.,60612,2004,school closing,Suder Montessori Elementary,,,"no, repurposed",,,
Austin High School,231 North Pine Ave.,60644,2004,school closing,Austin College and Career Academy,Yes,,"no, repurposed",,,
Douglas Community Academy School,3200 S Calumet Ave,60616,2004,school closing,Pershing Magnet Elementary,Yes,,"no, repurposed",,,
Byrd Elementary,363 West Hill St.,60610,2004,school closing,"Immaculate Conception Catholic School, rents from City of Chicago",,,"no, repurposed",,,
Raymond Elementary,3663 South Wabash Ave.,60653,2004,school closing,Perspectives IIT Charter School,,Yes,"no, repurposed",,,
