Network,School ID,School,Total,Year,Area
AUSL,610339,Amos Alonzo Stagg Elementary School,558,2015,
AUSL,610106,Brian Piccolo Elementary Specialty School,531,2015,
AUSL,609883,Charles S Deneen Elementary School,619,2015,
AUSL,610248,Chicago Academy Elementary School,612,2015,
AUSL,610340,Chicago Academy High School,526,2015,
AUSL,610499,Collins Academy High School,419,2015,
AUSL,609885,Dewey Elementary Academy of Fine Arts,365,2015,
AUSL,610254,Dvorak Technology Academy,472,2015,
AUSL,610543,Eric Solorio Academy High School,"1,083",2015,
AUSL,609900,George W Curtis Elementary School,647,2015,
AUSL,610103,Isabelle C O'Keeffe Elementary School,676,2015,
AUSL,610274,James Weldon Johnson Elementary School,396,2015,
AUSL,610263,John Foster Dulles Elementary School,778,2015,
AUSL,609971,John Harvard Elementary School of Excellence,468,2015,
AUSL,610000,Julia Ward Howe Elementary School of Excellence,587,2015,
AUSL,610036,Leslie Lewis Elementary School,511,2015,
AUSL,610053,Marquette Elementary School,"1,274",2015,
AUSL,609888,Mary Mapes Dodge Elementary Renaissance Academy,192,2015,
AUSL,609928,Melville W Fuller Elementary School,383,2015,
AUSL,610257,Morton School of Excellence,404,2015,
AUSL,609806,Myra Bradwell Communications Arts & Sciences ES,736,2015,
AUSL,610231,National Teachers Elementary Academy,626,2015,
AUSL,610389,Orr Academy High School,458,2015,
AUSL,610021,Pablo Casals Elementary School,497,2015,
AUSL,610282,Ronald E McNair Elementary School,385,2015,
AUSL,610396,Tarkington School of Excellence ES,"1,034",2015,
AUSL,609991,Theodore Herzl Elementary School,589,2015,
AUSL,609851,Thomas Chalmers Specialty Elementary School,365,2015,
AUSL,609955,Walter Q Gresham Elementary School,359,2015,
AUSL,609727,Wendell Phillips Academy High School,614,2015,
AUSL,610172,William T Sherman Elementary School,360,2015,
AUSL,609844,William W Carter Elementary School,446,2015,
Service Leadership Academies,610513,Air Force Academy High School,373,2015,
Service Leadership Academies,609754,Chicago Military Academy High School,395,2015,
Service Leadership Academies,609760,George Washington Carver Military Academy HS,504,2015,
Service Leadership Academies,610390,Hyman G Rickover Naval Academy High School,553,2015,
Service Leadership Academies,609780,Marine Leadership Academy at Ames,760,2015,
Service Leadership Academies,610304,Phoenix Military Academy High School,501,2015,
Network 1,610212,Albany Park Multicultural Academy,269,2015,
Network 1,610209,Alessandro Volta Elementary School,"1,004",2015,
Network 1,609836,Arthur E Canty Elementary School,799,2015,
Network 1,609729,Carl Schurz High School,"2,302",2015,
Network 1,609899,Christian Ebinger Elementary School,711,2015,
Network 1,610083,Daniel C Beard Elementary School,149,2015,
Network 1,610564,Disney II Magnet High School,493,2015,
Network 1,610515,Disney II Magnet School,420,2015,
Network 1,609901,Edgebrook Elementary School,511,2015,
Network 1,610523,Edison Park Elementary School,493,2015,
Network 1,609708,Edwin G Foreman High School,"1,276",2015,
Network 1,610137,Ernst Prussing Elementary School,700,2015,
Network 1,609874,Everett McKinley Dirksen Elementary School,842,2015,
Network 1,610163,Frederick Stock Elementary School,248,2015,
Network 1,609737,Friedrich W von Steuben Metropolitan Science HS,"1,687",2015,
Network 1,609857,Grover Cleveland Elementary School,659,2015,
Network 1,610182,Hannah G Solomon Elementary School,358,2015,
Network 1,609972,Helge A Haugan Elementary School,"1,154",2015,
Network 1,609798,Hiram H Belding Elementary School,617,2015,
Network 1,609766,Jacqueline B Vaughn Occupational High School,201,2015,
Network 1,609912,James B Farnsworth Elementary School,586,2015,
Network 1,609796,Jean Baptiste Beaubien Elementary School,"1,146",2015,
Network 1,610089,John B Murphy Elementary School,585,2015,
Network 1,610111,John Palmer Elementary School,890,2015,
Network 1,609937,John W Garvy Elementary School,784,2015,
Network 1,610159,Jonathan Y Scammon Elementary School,951,2015,
Network 1,610127,Mary Gage Peterson Elementary School,888,2015,
Network 1,609792,Newton Bateman Elementary School,"1,011",2015,
Network 1,609810,Norman A Bridge Elementary School,"1,078",2015,
Network 1,610354,North River Elementary School,361,2015,
Network 1,609749,Northside College Preparatory High School,"1,050",2015,
Network 1,609744,Northside Learning Center High School,270,2015,
Network 1,610099,Norwood Park Elementary School,381,2015,
Network 1,610201,Ole A Thorp Elementary Scholastic Academy,839,2015,
Network 1,610105,Oriole Park Elementary School,689,2015,
Network 1,609988,Patrick Henry Elementary School,659,2015,
Network 1,610145,Peter A Reinberg Elementary School,852,2015,
Network 1,610135,Portage Park Elementary School,"1,029",2015,
Network 1,609995,Rufus M Hitch Elementary School,561,2015,
Network 1,610155,Sauganash Elementary School,574,2015,
Network 1,609728,Theodore Roosevelt High School,"1,357",2015,
Network 1,609794,Thomas A Edison Regional Gifted Center ES,277,2015,
Network 1,610321,Thurgood Marshall Middle School,108,2015,
Network 1,610179,Washington D Smyser Elementary School,"1,019",2015,
Network 1,610230,Wildwood Elementary School,428,2015,
Network 1,609884,William E Dever Elementary School,846,2015,
Network 1,609994,William G Hibbard Elementary School,"1,166",2015,
Network 1,609734,William Howard Taft High School,"3,233",2015,
Network 1,610104,William J Onahan Elementary School,652,2015,
Network 1,609949,William P Gray Elementary School,"1,262",2015,
Network 2,609804,Daniel Boone Elementary School,818,2015,
Network 2,609859,DeWitt Clinton Elementary School,"1,134",2015,
Network 2,609852,Eliza Chappell Elementary School,554,2015,
Network 2,609918,Eugene Field Elementary School,352,2015,
Network 2,609779,George Armstrong International Studies ES,"1,461",2015,
Network 2,610196,George B Swift Elementary Specialty School,718,2015,
Network 2,610122,Helen Peirce International Studies ES,"1,033",2015,
Network 2,610070,James B McPherson Elementary School,782,2015,
Network 2,609866,John C Coonley Elementary School,834,2015,
Network 2,610269,John T McCutcheon Elementary School,470,2015,
Network 2,609865,Jordan Elementary Community School,601,2015,
Network 2,610242,Joseph Brennemann Elementary School,499,2015,
Network 2,610022,Joyce Kilmer Elementary School,784,2015,
Network 2,609719,Lake View High School,"1,347",2015,
Network 2,609817,Lyman A Budlong Elementary School,866,2015,
Network 2,610355,Mary E Courtenay Elementary Language Arts Center,576,2015,
Network 2,610011,Minnie Mars Jamieson Elementary School,913,2015,
Network 2,610284,New Field Elementary School,607,2015,
Network 2,609730,Nicholas Senn High School,"1,281",2015,
Network 2,610147,Philip Rogers Elementary School,761,2015,
Network 2,610141,Ravenswood Elementary School,527,2015,
Network 2,609695,Roald Amundsen High School,"1,132",2015,
Network 2,609733,Roger C Sullivan High School,574,2015,
Network 2,609880,Stephen Decatur Classical Elementary School,289,2015,
Network 2,609933,Stephen F Gale Elementary Community Academy,400,2015,
Network 2,609976,Stephen K Hayt Elementary School,"1,006",2015,
Network 2,609724,Stephen T Mather High School,"1,579",2015,
Network 2,610191,Stone Elementary Scholastic Academy,629,2015,
Network 2,610220,Thomas J Waters Elementary School,625,2015,
Network 2,610394,Uplift Community High School,326,2015,
Network 2,610363,Walt Disney Magnet Elementary School,"1,663",2015,
Network 2,610542,West Ridge Elementary School,738,2015,
Network 2,609945,William C. Goudy Technology Academy,764,2015,
Network 3,400018,Austin Business and Entrepreneurship Academy HS,150,2015,
Network 3,610501,Austin Polytechnical Academy High School,165,2015,
Network 3,609922,Belmont-Cragin Elementary School,600,2015,
Network 3,609679,Charles Allen Prosser Career Academy High School,"1,476",2015,
Network 3,609732,Charles P Steinmetz College Preparatory HS,"1,709",2015,
Network 3,610533,Dr Jorge Prieto Math and Science,"1,039",2015,
Network 3,609904,Edward K Ellington Elementary School,696,2015,
Network 3,610235,Ella Flagg Young Elementary School,"1,024",2015,
Network 3,610165,Franz Peter Schubert Elementary School,939,2015,
Network 3,610245,Frederick A Douglass Academy High School,243,2015,
Network 3,610305,George Leland Elementary School,630,2015,
Network 3,609795,George Rogers Clark Elementary School,290,2015,
Network 3,610068,Hanson Park Elementary School,"1,570",2015,
Network 3,610158,Harriet E Sayre Elementary Language Academy,530,2015,
Network 3,610040,Henry D Lloyd Elementary School,"1,243",2015,
Network 3,610092,Henry H Nash Elementary School,360,2015,
Network 3,609975,John Hay Elementary Community Academy,541,2015,
Network 3,610043,Joseph Lovett Elementary School,452,2015,
Network 3,610041,Josephine C Locke Elementary School,"1,370",2015,
Network 3,609910,Laughlin Falconer Elementary School,"1,402",2015,
Network 3,609818,Luther Burbank Elementary School,995,2015,
Network 3,610539,Marvin Camras Elementary School,"1,032",2015,
Network 3,610046,Mary Lyon Elementary School,"1,417",2015,
Network 3,610244,Michele Clark Academic Prep Magnet High School,511,2015,
Network 3,609830,Milton Brunson Math & Science Specialty ES,620,2015,
Network 3,610051,Northwest Middle School,567,2015,
Network 3,610367,Oscar DePriest Elementary School,739,2015,
Network 3,610183,Spencer Technology Academy,800,2015,
Network 3,610518,VOISE Academy High School,254,2015,
Network 4,610038,Abraham Lincoln Elementary School,824,2015,
Network 4,609720,Albert G Lane Technical High School,"4,071",2015,
Network 4,610524,Alcott High School for the Humanities,274,2015,
Network 4,609799,Alexander Graham Bell Elementary School,"1,028",2015,
Network 4,609963,Alexander Hamilton Elementary School,419,2015,
Network 4,609820,Augustus H Burley Elementary School,518,2015,
Network 4,610039,Carl von Linne Elementary School,654,2015,
Network 4,609875,Charles R Darwin Elementary School,568,2015,
Network 4,610402,DeVry University Advantage Academy HS,196,2015,
Network 4,610541,Federico Garcia Lorca Elementary School,903,2015,
Network 4,610144,Frank W Reilly Elementary School,"1,087",2015,
Network 4,609926,Franklin Elementary Fine Arts Center,367,2015,
Network 4,609930,Frederick Funston Elementary School,550,2015,
