School ID,School,Total,Year,Area,Network
610212,Albany Park Multicultural Academy,282,2019,,
610209,Alessandro Volta Elementary School,826,2019,,
609836,Arthur E Canty Elementary School,825,2019,,
610083,Daniel C Beard Elementary School,228,2019,,
609901,Edgebrook Elementary School,509,2019,,
610523,Edison Park Elementary School,545,2019,,
610137,Ernst Prussing Elementary School,727,2019,,
609874,Everett McKinley Dirksen Elementary School,936,2019,,
610163,Frederick Stock Elementary School,229,2019,,
609857,Grover Cleveland Elementary School,555,2019,,
610182,Hannah G Solomon Elementary School,362,2019,,
609972,Helge A Haugan Elementary School,891,2019,,
609798,Hiram H Belding Elementary School,583,2019,,
609912,James B Farnsworth Elementary School,585,2019,,
609796,Jean Baptiste Beaubien Elementary School,1047,2019,,
610089,John B Murphy Elementary School,543,2019,,
610111,John Palmer Elementary School,758,2019,,
609937,John W Garvy Elementary School,830,2019,,
610159,Jonathan Y Scammon Elementary School,710,2019,,
610127,Mary Gage Peterson Elementary School,888,2019,,
609792,Newton Bateman Elementary School,948,2019,,
609810,Norman A Bridge Elementary School,1112,2019,,
610354,North River Elementary School,300,2019,,
610099,Norwood Park Elementary School,442,2019,,
610105,Oriole Park Elementary School,739,2019,,
609988,Patrick Henry Elementary School,522,2019,,
610145,Peter A Reinberg Elementary School,746,2019,,
610135,Portage Park Elementary School,910,2019,,
609995,Rufus M Hitch Elementary School,571,2019,,
609794,Thomas A Edison Regional Gifted Center ES,265,2019,,
610230,Wildwood IB World Magnet School,476,2019,,
609884,William E Dever Elementary School,741,2019,,
609994,William G Hibbard Elementary School,960,2019,,
610104,William J Onahan Elementary School,662,2019,,
609949,William P Gray Elementary School,1170,2019,,
609804,Daniel Boone Elementary School,782,2019,,
609859,DeWitt Clinton Elementary School,1152,2019,,
609918,Eugene Field Elementary School,157,2019,,
609779,George Armstrong International Studies ES,1360,2019,,
610196,George B Swift Elementary Specialty School,682,2019,,
610122,Helen Peirce International Studies ES,1048,2019,,
610070,James B McPherson Elementary School,682,2019,,
609866,John C Coonley Elementary School,1027,2019,,
610269,John T McCutcheon Elementary School,374,2019,,
609865,Jordan Elementary Community School,474,2019,,
610022,Joyce Kilmer Elementary School,776,2019,,
610355,Mary E Courtenay Elementary Language Arts Center,365,2019,,
610011,Minnie Mars Jamieson Elementary School,883,2019,,
610284,New Field Elementary School,664,2019,,
609880,Stephen Decatur Classical Elementary School,284,2019,,
609933,Stephen F Gale Elementary Community Academy,301,2019,,
609976,Stephen K Hayt Elementary School,954,2019,,
610191,Stone Elementary Scholastic Academy,622,2019,,
610220,Thomas J Waters Elementary School,641,2019,,
609904,Edward K Ellington Elementary School,483,2019,,
610235,Ella Flagg Young Elementary School,724,2019,,
610165,Franz Peter Schubert Elementary School,665,2019,,
610305,George Leland Elementary School,386,2019,,
610068,Hanson Park Elementary School,1471,2019,,
610158,Harriet E Sayre Elementary Language Academy,439,2019,,
610092,Henry H Nash Elementary School,242,2019,,
609975,John Hay Elementary Community Academy,360,2019,,
610043,Joseph Lovett Elementary School,342,2019,,
610041,Josephine C Locke Elementary School,1240,2019,,
609910,Laughlin Falconer Elementary School,1107,2019,,
609818,Luther Burbank Elementary School,887,2019,,
610539,Marvin Camras Elementary School,946,2019,,
610046,Mary Lyon Elementary School,1347,2019,,
609830,Milton Brunson Math & Science Specialty ES,481,2019,,
610051,Northwest Middle School,541,2019,,
610367,Oscar DePriest Elementary School,558,2019,,
610183,Spencer Technology Academy,494,2019,,
609799,Alexander Graham Bell Elementary School,1003,2019,,
609963,Alexander Hamilton Elementary School,509,2019,,
610144,Frank W Reilly Elementary School,852,2019,,
609930,Frederick Funston Elementary School,464,2019,,
610010,Friedrich L. Jahn Elementary of the Fine Arts,318,2019,,
610048,George Manierre Elementary School,357,2019,,
609974,Hawthorne Elementary Scholastic Academy,566,2019,,
609850,Horace Greeley Elementary School,547,2019,,
610078,Inter-American Elementary Magnet School,695,2019,,
609803,James G Blaine Elementary School,823,2019,,
610074,James Monroe Elementary School,765,2019,,
609942,Johann W von Goethe Elementary School,749,2019,,
609782,John J Audubon Elementary School,571,2019,,
610033,LaSalle Elementary Language Academy,516,2019,,
610325,Logandale Middle School,706,2019,,
609809,Lorenz Brentano Math & Science Academy ES,565,2019,,
610094,Louis Nettelhorst Elementary School,757,2019,,
609774,Louisa May Alcott College Preparatory ES,649,2019,,
610524,Louisa May Alcott College Preparatory HS,318,2019,,
610059,Oscar F Mayer Elementary School,758,2019,,
609853,Salmon P Chase Elementary School,407,2019,,
609968,Sharon Christa McAuliffe Elementary School,680,2019,,
610534,Skinner North,523,2019,,
610095,Walter L Newberry Math & Science Academy ES,493,2019,,
610136,William H Prescott Elementary School,450,2019,,
610097,William P Nixon Elementary School,743,2019,,
610088,Wolfgang A Mozart Elementary School,566,2019,,
610131,Ambrose Plamondon Elementary School,134,2019,,
610005,Charles Evans Hughes Elementary School,265,2019,,
610194,Charles Sumner  Math & Science Community Acad ES,282,2019,,
609873,Crown Community Academy of Fine Arts Center ES,212,2019,,
610221,Daniel Webster Elementary School,280,2019,,
610073,Ellen Mitchell Elementary School,420,2019,,
610503,Frazier Prospective IB Magnet ES,203,2019,,
609854,Frederic Chopin Elementary School,391,2019,,
610293,Genevieve Melody Elementary School,430,2019,,
610202,George W Tilton Elementary School,308,2019,,
610192,Harriet Beecher Stowe Elementary School,635,2019,,
609797,Jacob Beidler Elementary School,397,2019,,
610044,James Russell Lowell Elementary School,400,2019,,
610271,Jensen Elementary Scholastic Academy,376,2019,,
609954,John Milton Gregory Elementary School,341,2019,,
610313,Jose De Diego Elementary Community Academy,588,2019,,
609925,Joseph Kellman Corporate Community ES,304,2019,,
610133,Laura S Ward Elementary School,388,2019,,
610034,Lawndale Elementary Community Academy,231,2019,,
609907,Leif Ericson Elementary Scholastic Academy,498,2019,,
610055,Michael Faraday Elementary School,245,2019,,
610234,Richard Yates Elementary School,375,2019,,
610056,Roswell B Mason Elementary School,361,2019,,
610100,West Park Elementary Academy,558,2019,,
610251,Willa Cather Elementary School,369,2019,,
610123,William Penn Elementary School,280,2019,,
610229,A.N. Pritzker School,733,2019,,
609947,Alexander Graham Elementary School,411,2019,,
610060,Andrew Jackson Elementary Language Academy,530,2019,,
610009,Galileo Math & Science Scholastic Academy ES,565,2019,,
610107,James Otis Elementary School,405,2019,,
609959,John Charles Haines Elementary School,682,2019,,
610180,John M Smyth Elementary School,482,2019,,
609828,Jonathan Burr Elementary School,476,2019,,
609777,Phillip D Armour Elementary School,265,2019,,
610138,Pulaski International School of Chicago,898,2019,,
609979,Robert Healy Elementary School,1410,2019,,
610252,Robert Nathaniel Dett Elementary School,310,2019,,
610029,Rodolfo Lozano Bilingual & International Ctr ES,186,2019,,
610405,Suder Montessori Magnet ES,379,2019,,
609896,Thomas Drummond Elementary School,351,2019,,
610121,Washington Irving Elementary School,385,2019,,
609812,William H Brown Elementary School,226,2019,,
610308,Wilma Rudolph Elementary Learning Center,78,2019,,
609966,Charles G Hammond Elementary School,384,2019,,
610063,Cyrus H McCormick Elementary School,610,2019,,
610227,Eli Whitney Elementary School,899,2019,,
610215,Francisco I Madero Middle School,321,2019,,
609920,Gerald Delgado Kanoon Elementary Magnet School,544,2019,,
610125,Irma C Ruiz Elementary School,666,2019,,
610216,John A Walsh Elementary School,300,2019,,
610228,John Greenleaf Whittier Elementary School,204,2019,,
610184,John Spry Elementary Community School,510,2019,,
609950,Josefa Ortiz De Dominguez Elementary School,519,2019,,
609938,Joseph E Gary Elementary School,1111,2019,,
609872,Manuel Perez Elementary School,316,2019,,
610017,Maria Saucedo Elementary Scholastic Academy,940,2019,,
610329,Orozco Fine Arts & Sciences Elementary School,542,2019,,
609867,Peter Cooper Elementary Dual Language Academy,418,2019,,
610013,Pilsen Elementary Community Academy,307,2019,,
609921,Telpochcalli Elementary School,275,2019,,
609967,William F Finkl Elementary School,318,2019,,
609993,Agustin Lara Elementary Academy,410,2019,,
610317,Brighton Park Elementary School,399,2019,,
610353,Calmeca Academy of Fine Arts and Dual Language,777,2019,,
610170,Columbia Explorers Elementary Academy,985,2019,,
609909,Edward Everett Elementary School,153,2019,,
610319,Evergreen Academy Middle School,307,2019,,
610096,Florence Nightingale Elementary School,1243,2019,,
610532,Irene C. Hernandez Middle School for the Advancement of Science,1005,2019,,
609983,James Hedges Elementary School,610,2019,,
610174,James Shields Elementary School,689,2019,,
610559,James Shields Middle School,592,2019,,
609964,John H Hamline Elementary School,547,2019,,
609876,Nathan S Davis Elementary School,733,2019,,
609952,Nathanael Greene Elementary School,414,2019,,
610239,Richard J Daley Elementary Academy,563,2019,,
610157,Sidney Sawyer Elementary School,1457,2019,,
610226,Socorro Sandoval Elementary School,891,2019,,
610589,Sor Juana Ines de la Cruz ES,92,2019,,
609855,Walter S Christopher Elementary School,375,2019,,
610167,William H Seward Communication Arts Academy ES,616,2019,,
610175,Beulah Shoesmith Elementary School,355,2019,,
609969,Bret Harte Elementary School,329,2019,,
610590,Bronzeville Classical Elementary School,89,2019,,
610345,Carter G Woodson South Elementary School,334,2019,,
610030,Charles Kozminski Elementary Community Academy,258,2019,,
609819,Edmond Burke Elementary School,414,2019,,
610246,Edward Beasley Elementary Magnet Academic Center,1044,2019,,
610065,Emmett Louis Till Math and Science Academy,330,2019,,
610110,Ida B Wells Preparatory Elementary Academy,364,2019,,
610276,Irvin C Mollison Elementary School,281,2019,,
610256,Jackie Robinson Elementary School,137,2019,,
609891,James R Doolittle Jr Elementary School,263,2019,,
609894,John B Drake Elementary School,333,2019,,
609919,John Fiske Elementary School,433,2019,,
610126,John J Pershing Elementary Humanities Magnet,575,2019,,
610237,Ludwig Van Beethoven Elementary School,322,2019,,
610090,Phillip Murray Elementary Language Academy,495,2019,,
609987,Thomas A Hendricks Elementary Community Academy,238,2019,,
610143,William C Reavis Math & Science Specialty ES,257,2019,,
610142,William H Ray Elementary School,712,2019,,
609977,Woodlawn Community Elementary School,207,2019,,
610185,Adlai E Stevenson Elementary School,1210,2019,,
609788,Alice L Barnard Computer Math & Science Ctr ES,264,2019,,
610084,Annie Keller Regional Gifted Center,225,2019,,
610287,Ashburn Community Elementary School,452,2019,,
609871,Barbara Vick Early Childhood & Family Center,339,2019,,
610087,Blair Early Childhood Center,231,2019,,
609839,Carroll-Rosenwald Specialty Elementary School,489,2019,,
609879,Charles Gates Dawes Elementary School,964,2019,,
610347,Claremont Academy Elementary School,458,2019,,
610077,Donald Morrill Math & Science Elementary School,599,2019,,
610352,Durkin Park Elementary School,676,2019,,
610006,Edward N Hurley Elementary School,852,2019,,
610195,Elizabeth H Sutherland Elementary School,604,2019,,
609908,Esmond Elementary School,256,2019,,
610057,Fairfield Elementary Academy,562,2019,,
610067,Francis M McKay Elementary School,775,2019,,
609861,Henry R Clissold Elementary School,511,2019,,
609893,John C Dore Elementary School,701,2019,,
610207,John H Vanderpoel Elementary Magnet School,255,2019,,
610016,Kate S Kellogg Elementary School,269,2019,,
609807,Lionel Hampton Fine & Performing Arts ES,521,2019,,
610206,Mark Twain Elementary School,1086,2019,,
609832,Michael M Byrne Elementary School,687,2019,,
609960,Nathan Hale Elementary School,900,2019,,
609981,Phoebe Apperson Hearst Elementary School,356,2019,,
610588,Robert J. Richardson Middle School,1127,2019,,
609956,Robert L Grimes Elementary School,442,2019,,
610109,William Bishop Owen Scholastic Academy ES,259,2019,,
609869,Anna R. Langford Community Academy,238,2019,,
610037,Arthur A Libby Elementary School,344,2019,,
609941,Asa Philip Randolph Elementary School,498,2019,,
610290,Benjamin E Mays Elementary Academy,400,2019,,
610238,Carrie Jacobs Bond Elementary School,268,2019,,
609986,Charles R Henderson Elementary School,280,2019,,
609897,Charles W Earle Elementary School,352,2019,,
609790,Clara Barton Elementary School,386,2019,,
610223,Daniel S Wentworth Elementary School,433,2019,,
610299,Dr. Martin L. King Jr Academy of Social Justice,229,2019,,
609924,Fort Dearborn Elementary School,358,2019,,
609927,Foster Park Elementary School,356,2019,,
610112,Francis W Parker Elementary Community Academy,504,2019,,
609864,John W Cook Elementary School,351,2019,,
610019,Joshua D Kershaw Elementary School,272,2019,,
609793,Lillian R. Nicholson STEM Academy,461,2019,,
610108,Luke O'Toole Elementary School,343,2019,,
610369,Mahalia Jackson Elementary School,383,2019,,
610362,Medgar Evers Elementary School,282,2019,,
610300,Oliver S Westcott Elementary School,400,2019,,
609997,Oliver Wendell Holmes Elementary School,137,2019,,
610003,Paul Cuffe Math-Science Technology Academy ES,304,2019,,
609791,Perkins Bass Elementary School,461,2019,,
610102,Richard J Oglesby Elementary School,483,2019,,
609929,Robert Fulton Elementary School,371,2019,,
609805,Scott Joplin Elementary School,431,2019,,
610521,Sir Miles Davis Magnet Elementary Academy,238,2019,,
609895,Turner-Drew Elementary Language Academy,212,2019,,
610032,Wendell E Green Elementary School,337,2019,,
610153,William H Ryder Math & Science Specialty ES,403,2019,,
610281,Adam Clayton Powell Paideia Community Academy ES,529,2019,,
610316,Amelia Earhart Options for Knowledge ES,222,2019,,
610171,Arnold Mireles Elementary Academy,450,2019,,
609887,Arthur Dixon Elementary School,562,2019,,
610268,Arthur R Ashe Elementary School,312,2019,,
609827,Burnside Elementary Scholastic Academy,413,2019,,
609813,Charles S Brownell Elementary School,183,2019,,
609815,Edward A Bouchet Math & Science Academy ES,616,2019,,
609862,Edward Coles Elementary Language Academy,388,2019,,
610124,Harold Washington Elementary School,316,2019,,
610279,Henry O Tanner Elementary School,316,2019,,
610052,Horace Mann Elementary School,333,2019,,
610066,James E McDade Elementary Classical School,192,2019,,
610047,James Madison Elementary School,202,2019,,
610200,James N Thorp Elementary School,309,2019,,
610093,Jane A Neil Elementary School,291,2019,,
610130,John T Pirie Fine Arts & Academic Center ES,233,2019,,
610218,Joseph Warren Elementary School,214,2019,,
610152,Martha Ruggles Elementary School,413,2019,,
609961,Ninos Heroes Elementary Academic Center,335,2019,,
610115,Park Manor Elementary School,240,2019,,
610116,Parkside Elementary Community Academy,273,2019,,
610146,Paul Revere Elementary School,242,2019,,
610350,Robert A Black Magnet Elementary School,424,2019,,
610530,South Shore Fine Arts Academy,354,2019,,
610178,Theophilus Schmid Elementary School,206,2019,,
610002,Thomas Hoyne Elementary School,236,2019,,
610193,William K New Sullivan Elementary School,519,2019,,
609808,Alex Haley Elementary Academy,529,2019,,
609821,Burnham Elementary Inclusive Academy,526,2019,,
610004,Countee Cullen Elementary School,201,2019,,
610198,Douglas Taylor Elementary School,417,2019,,
610188,Dunne Technology Academy,201,2019,,
610132,Edgar Allan Poe Elementary Classical School,196,2019,,
610315,Edward White Elementary Career Academy,158,2019,,
609917,Fernwood Elementary School,270,2019,,
609800,Frank I Bennett Elementary School,308,2019,,
610139,George M Pullman Elementary School,418,2019,,
609845,George Washington Carver Primary School,413,2019,,
610219,George Washington Elementary School,825,2019,,
609856,Henry Clay Elementary School,592,2019,,
609848,Ira F Aldridge Elementary School,186,2019,,
609943,Jesse Owens Elementary Community Academy,344,2019,,
610176,John D Shoop Math-Science Technical Academy ES,434,2019,,
610054,John L Marsh Elementary School,748,2019,,
610225,John Whistler Elementary School,359,2019,,
610199,Johnnie Colemon Elementary Academy,249,2019,,
610368,Langston Hughes Elementary School,471,2019,,
610128,Marcus Moziah Garvey Elementary School,286,2019,,
609935,Matthew Gallistel Elementary Language Academy,706,2019,,
610208,Mildred I Lavizzo Elementary School,359,2019,,
610086,Mount Vernon Elementary School,246,2019,,
609811,Orville T Bright Elementary School,297,2019,,
609902,Ralph H Metcalfe Elementary Community Academy,357,2019,,
610091,Ronald Brown Elementary Community Academy,355,2019,,
610586,Southeast Area Elementary School,594,2019,,
610295,Thomas J Higgins Elementary Community Academy,269,2019,,
609978,Wendell Smith Elementary School,334,2019,,
610364,William E B Dubois Elementary School,213,2019,,
609720,Albert G Lane Technical High School,4520,2019,,
609729,Carl Schurz High School,1615,2019,,
609732,Charles P Steinmetz College Preparatory HS,1233,2019,,
610564,Disney II Magnet High School,717,2019,,
610515,Disney II Magnet School,442,2019,,
609708,Edwin G. Foreman College and Career Academy,759,2019,,
609737,Friedrich W von Steuben Metropolitan Science HS,1773,2019,,
609766,Jacqueline B Vaughn Occupational High School,225,2019,,
609716,Kelvyn Park High School,408,2019,,
609719,Lake View High School,1385,2019,,
609730,Nicholas Senn High School,1420,2019,,
609744,Northside Learning Center High School,219,2019,,
609769,Ray Graham Training Center High School,114,2019,,
609733,Roger C Sullivan High School,660,2019,,
609724,Stephen T Mather High School,1490,2019,,
609728,Theodore Roosevelt High School,962,2019,,
610394,Uplift Community High School,162,2019,,
609734,William Howard Taft High School,3432,2019,,
610334,Al Raby High School,346,2019,,
610518,Austin College and Career Academy High School,211,2019,,
609679,Charles Allen Prosser Career Academy High School,1329,2019,,
610245,Frederick A Douglass Academy High School,62,2019,,
